wave,item_id,title,target_path,status,done_gate,notes
59,W59-001,Create master project location index,Plan/Instructions/Indexes/MASTER_PROJECT_LOCATION_INDEX.md,completed_static_pack,file_exists_and_contains_local_github_aws_paths,Defines canonical local/GitHub/AWS paths.
59,W59-002,Create local directory catalogue,Plan/Instructions/Indexes/LOCAL_DIRECTORY_CATALOGUE.md,complete,live_directory_scan_validated,Live scan evidence: Plan/Instructions/QA/Evidence/Index_Validation/W59_LIVE_INDEX_REGENERATION_20260706T003608-0500.json.
59,W59-003,Create Plan directory file index,Plan/Instructions/Indexes/PLAN_DIRECTORY_FILE_INDEX.md,complete,live_index_regenerated_and_validated,Generated live Plan index count: 2374; evidence: Plan/Instructions/QA/Evidence/Index_Validation/W59_LIVE_INDEX_REGENERATION_20260706T003608-0500.json.
59,W59-004,Create Items directory file index,Plan/Instructions/Indexes/ITEMS_DIRECTORY_FILE_INDEX.md,complete,live_index_regenerated_and_validated,Generated live Items index count: 45; evidence: Plan/Instructions/QA/Evidence/Index_Validation/W59_LIVE_INDEX_REGENERATION_20260706T003608-0500.json.
59,W59-005,Create Tracker directory file index,Plan/Instructions/Indexes/TRACKER_DIRECTORY_FILE_INDEX.md,complete,live_index_regenerated_and_validated,Generated live Tracker index count: 26; evidence: Plan/Instructions/QA/Evidence/Index_Validation/W59_LIVE_INDEX_REGENERATION_20260706T003608-0500.json.
59,W59-006,Create Instructions directory file index,Plan/Instructions/Indexes/INSTRUCTIONS_DIRECTORY_FILE_INDEX.md,complete,live_index_regenerated_and_validated,Generated live Instructions index count: 152; evidence: Plan/Instructions/QA/Evidence/Index_Validation/W59_LIVE_INDEX_REGENERATION_20260706T003608-0500.json.
59,W59-007,Create GitHub repository operating index,Plan/Instructions/Indexes/GITHUB_REPOSITORY_OPERATING_INDEX.md,blocked_live_git_verification,file_exists_and_defines_git_checks,Static index exists; live Git verification blocked because C:\Comfy_UI_Main lacks .git metadata. Evidence: Plan/Instructions/QA/Evidence/Git_Verification/W59_W60_GIT_LOCAL_VERIFICATION_20260706T004200-0500.json.
59,W59-008,Create AWS resource index,Plan/Instructions/Indexes/AWS_RESOURCE_INDEX.md,completed_static_pack,file_exists_and_defines_aws_checks,Defines account/instance/volume verification.
59,W59-009,Create EC2 GPU server operating index,Plan/Instructions/Indexes/EC2_GPU_SERVER_OPERATING_INDEX.md,completed_static_pack,file_exists_and_defines_gpu_server_identity,Defines safe GPU server use boundaries.
59,W59-010,Create hydration directory index,Plan/Instructions/Indexes/HYDRATION_REHYDRATION_DIRECTORY_INDEX.md,completed_static_pack,file_exists_and_classifies_state_files,Defines session continuity state files.
