Tracker_ID,Wave,Phase,Workstream,Priority,Risk_Level,Owner_Role,Environment,Status,Task_Name,Detailed_Action,Completion_Criteria,Acceptance_Evidence,Dependency_Prerequisite,Validation_Method,Output_Artifact,Source_Path,Related_Source_Paths,Package_Top_Level_Directory,Autonomous_Execution_Mode,Human_Input_Allowed,Human_Work_Allowed,Codex_Desktop_Action,QA_Strictness,Visual_Review_Required,Visual_Review_Method,Test_Required,Runtime_Proof_Required,EC2_Allowed,Preview_Required,Final_Render_Gate,Evidence_Path,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_Item_ID,Blocker_Policy,Rerun_Policy,Status_Decision,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
W64-MI-TRK-221,Wave64,MI-00,W64-MI-GOV,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Planned_Static_Control_Allowed_Pre_Activation,Wave30 Source Snapshot and Integrity Admission,"Register every multipart archive part, logical ZIP hash, patch relationship, inventory count, CRC result, source defect, and authority ceiling without importing model authority.","The five-part stream and patch are hash-bound; unsafe paths, missing parts, duplicate names, manifest inconsistencies, and the metadata-only authority ceiling are explicit.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row149, Row152, Row165, Row201, PreActivationStaticControlOnly",Static validators plus scoped runtime and multimodal QA,W64-MI-221 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Static_Control_Only_Pre_Activation,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Conditional,archive manifest and inventory review,Yes,No_Static_Control,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row221,407,413,Wave30 Source Snapshot and Integrity Admission,wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-221,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Static_Control_Planning_Allowed_Runtime_Not_Authorized,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-221,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Pre_Activation_Control,Yes
W64-MI-TRK-222,Wave64,MI-00,W64-MI-GOV,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Planned_Static_Control_Allowed_Pre_Activation,"Discovery, Operational, and Empirical Authority Tiers","Separate source claims, normalized discovery metadata, installed operational assets, runtime observations, scoped certificates, and production selection authority.","No Wave30 score, tag, copy-ready label, Civitai sample, or LLM statement can satisfy a runtime capability or promotion gate.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row150, Row152, Row165, Row166, Row209, Row221, PreActivationStaticControlOnly",Static validators plus scoped runtime and multimodal QA,W64-MI-222 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Static_Control_Only_Pre_Activation,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Conditional,authority-matrix review,Yes,No_Static_Control,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row222,415,421,"Discovery, Operational, and Empirical Authority Tiers",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-222,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Static_Control_Planning_Allowed_Runtime_Not_Authorized,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-222,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Pre_Activation_Control,Yes
W64-MI-TRK-223,Wave64,MI-00,W64-MI-GOV,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,"Model Asset Identity, Deduplication, and Version Lineage","Resolve family, model, version, file, SHA-256, duplicate group, supersession, preferred revision, and storage identity as separate immutable entities.",Aliases converge on one content identity while distinct revisions remain independently testable and historically addressable.,"Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row043, Row051, Row152, Row153, Row221, Row222, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-223 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,dedupe and lineage fixture review,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row223,423,429,"Model Asset Identity, Deduplication, and Version Lineage",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-223,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-223,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-224,Wave64,MI-00,W64-MI-GOV,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,"Model Lifecycle, Decision Authority, and Revocation State Machine","Define discovery, admitted, installed, load-proven, benchmark-candidate, provisionally-certified, production-certified, suspended, revoked, rejected, and superseded transitions.","Every transition has one authority, evidence prerequisites, expiry, rollback, and immutable event history; an LLM cannot certify or promote.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row150, Row152, Row197, Row198, Row201, Row221, Row222, Row223, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-224 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,state-transition and forbidden-authority tests,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row224,431,437,"Model Lifecycle, Decision Authority, and Revocation State Machine",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-224,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-224,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-225,Wave64,MI-01,W64-MI-CAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,Strict Model Asset Intelligence Card,"Normalize Wave30, Civitai, local, S3, EC2, ComfyUI, hash, loader, taxonomy, prompt, trigger, compatibility, rights, availability, and evidence fields into a strict versioned card.","Each card distinguishes claimed, inferred, observed, measured, and certified facts and carries source-level citations and freshness.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row044, Row054, Row165, Row221, Row222, Row223, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-225 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,"schema, source crosswalk, and sample-card review",Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row225,439,445,Strict Model Asset Intelligence Card,wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-225,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-225,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-226,Wave64,MI-01,W64-MI-CAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,"Capability, Role, Region, Modality, and Defect Ontology","Map checkpoints, LoRAs, adapters, controls, video, audio, speech, Foley, upscalers, and analyzers to normalized pass intents, targets, defects, controls, and risks.","The selector can query exact functional meaning across character, scene, image, video, audio, and AV work without relying on filenames.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row051, Row054, Row153, Row155, Row165, Row173, Row209, Row225, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-226 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,ontology coverage and ambiguity review,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row226,447,453,"Capability, Role, Region, Modality, and Defect Ontology",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-226,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-226,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-227,Wave64,MI-01,W64-MI-CAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,"Family, Artifact, Revision, Bundle, and Certificate Separation","Model discovery operates at family level while execution, evidence, and certification bind exact artifact revisions and execution bundles.","No family summary is used as artifact proof and no artifact certificate silently transfers to another hash, workflow, adapter bundle, or runtime.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row152, Row156, Row165, Row223, Row224, Row225, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-227 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,cross-level leakage tests,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row227,455,461,"Family, Artifact, Revision, Bundle, and Certificate Separation",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-227,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-227,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-228,Wave64,MI-01,W64-MI-CAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,Hybrid Retrieval Index and Immutable Citation Projection,"Build structured filters, full-text search, embeddings, taxonomy joins, evidence joins, and materialized summaries over immutable source and empirical records.","Every retrieved fact resolves to a versioned record and evidence reference; stale, conflicting, missing, and superseded records remain visible.","Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row051, Row054, Row198, Row202, Row221, Row225, Row226, Row227, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-228 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,"retrieval precision, freshness, conflict, and citation tests",Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row228,463,469,Hybrid Retrieval Index and Immutable Citation Projection,wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-228,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-228,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-229,Wave64,MI-02,W64-MI-COMPAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,"Engine, Base-Family, Loader, and Adapter Hard Compatibility Graph","Represent exact compatible and incompatible edges for engines, checkpoints, LoRAs, VAEs, encoders, controls, schedulers, nodes, workflows, quantizations, and media adapters.",Wrong-family assets and unproven cross-family assumptions fail before ranking with typed reasons.,"Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row036, Row044, Row054, Row065, Row165, Row166, Row225, Row226, Row227, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-229 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,positive and negative compatibility fixtures,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row229,471,477,"Engine, Base-Family, Loader, and Adapter Hard Compatibility Graph",wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-229,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-229,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
W64-MI-TRK-230,Wave64,MI-02,W64-MI-COMPAT,P0,CRITICAL,Autonomous_Model_Intelligence_Control_Plane,Local_Then_Certified_Target_Runtime,Deferred_Pending_Complete_Model_Library_Download_Inventory_Verification_And_Main_Task_Acknowledgement,Exact Model Execution Bundle Compiler,"Compile one selectable unit from base model, LoRA stack, VAE, encoders, controls, workflow hash, node/runtime lock, sampler, precision, hardware, and prompt adapter.",Selection and evidence bind the complete reproducible bundle rather than a model brand or standalone LoRA.,"Hash-bound schema, registry, tests, runtime evidence, QA, and policy decision as applicable","Row156, Row165, Row166, Row170, Row171, Row227, Row229, ActivationGate=wave64_model_library_download_readiness_gate_v1",Static validators plus scoped runtime and multimodal QA,W64-MI-230 evidence and implementation package,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Wave30 source snapshot; Wave64 Rows165-220,Plan,Deferred_Until_Complete_Download_Inventory_And_Main_Task_Acknowledgement,Yes_For_Policy_Calibration_And_Adjudication,No_Manual_Work_Required_For_Normal_Operation,Implement_Validate_Review_And_Record_Evidence,Hard_Gate_High_Assurance,Yes,bundle reproducibility and substitution tests,Yes,Yes,Yes_When_Explicitly_Routed,Yes_For_Media_And_UI,Applicable_To_Media_Qualification,Plan/Instructions/QA/Evidence/Wave64/Model_Intelligence/,WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Row230,479,485,Exact Model Execution Bundle Compiler,wave64_autonomous_model_intelligence_rows221_260,Additive_Model_Intelligence_Plan,W64-MI-230,Typed_Blocker_No_Silent_Substitution,Material_Hypothesis_Or_Transient_No_Output_Replay,Deferred_Pending_Model_Library_Activation_Gate,"Do not infer model or LLM qualification from planning validation. No model-library execution is authorized until the complete-download, inventory-verification, and main-task acknowledgement gate passes.",W64-MI-TRK-230,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_MODEL_INTELLIGENCE_AND_SELECTION_MASTER_PLAN.md,Full_Planning_Coverage,Static_Validated_Runtime_Deferred_By_Activation_Gate,Yes
