wave,item_id,title,description,evidence_path,implementation_status,qa_status,notes
62,ITEM-W62-001,Session start rehydration checklist,Defines what Codex reads and verifies at the start of each session.,Plan/Instructions/Hydration_Rehydration/SESSION_START_REHYDRATION_CHECKLIST.md,completed,static_validation_pass,Runtime application begins in next Codex session.
62,ITEM-W62-002,Session end hydration checklist,Defines what Codex writes before ending each session.,Plan/Instructions/Hydration_Rehydration/SESSION_END_HYDRATION_CHECKLIST.md,completed,static_validation_pass,Runtime application begins in next Codex session.
62,ITEM-W62-003,Autonomous session state template,Template for complete state capture.,Plan/Instructions/QA/Evidence/Hydration_Helper_Static_Validation/W62_HYDRATION_HELPER_STATIC_VALIDATION_20260706T005425-0500.json,complete,qa_passed,Session-state helper generated and validated sample session state JSON.
62,ITEM-W62-004,Current status and next action template,Template for exact resume-ready status.,Plan/Instructions/Hydration_Rehydration/CURRENT_STATUS_AND_NEXT_ACTION_TEMPLATE.md,completed,static_validation_pass,Template only.
62,ITEM-W62-005,Tracker update protocol,Defines tracker status and evidence rules.,Plan/Instructions/Hydration_Rehydration/TRACKER_UPDATE_PROTOCOL.md,completed,static_validation_pass,Must be used for future tracker updates.
62,ITEM-W62-006,Itemized-list update protocol,Defines item list maintenance and completion rules.,Plan/Instructions/Hydration_Rehydration/ITEMIZED_LIST_UPDATE_PROTOCOL.md,completed,static_validation_pass,Must be used for future item updates.
62,ITEM-W62-007,Bug issue fix log protocol,Defines failure/fix/retest records.,Plan/Instructions/Hydration_Rehydration/BUG_ISSUE_FIX_LOG_PROTOCOL.md,completed,static_validation_pass,Must be used for future failures.
62,ITEM-W62-008,QA evidence log protocol,Defines evidence indexing rules.,Plan/Instructions/Hydration_Rehydration/QA_EVIDENCE_LOG_PROTOCOL.md,completed,static_validation_pass,Must be used for future artifact QA.
62,ITEM-W62-009,Cumulative wave pack build protocol,Defines cumulative packaging preservation and validation.,Plan/Instructions/QA/Evidence/Hydration_Helper_Static_Validation/W62_CUMULATIVE_PACK_VALIDATION_20260706T011548-0500.json; Plan/Instructions/QA/Evidence/Done_Certifications/CERT_W62_CUMULATIVE_PACK_VALIDATION_20260706T011548-0500.md,complete,qa_passed,Final Wave 58-62 cumulative zip exists locally and official pack validation passed.
62,ITEM-W62-010,Wave58-62 final completion certification,Certifies static completeness of the instruction pack.,Plan/Instructions/Hydration_Rehydration/WAVE58_62_FINAL_COMPLETION_CERTIFICATION.md,completed,static_validation_pass,Runtime QA still pending per actual artifact.
62,ITEM-W62-011,Resume file for next Codex session,Provides the next session entry point.,Plan/Instructions/Hydration_Rehydration/RESUME_HERE_NEXT_CODEX_SESSION.md,completed,static_validation_pass,Next session should read this first.
