Wave,Title,Goal,Purpose,Requirements
00,"Foundation Blueprint, Source Audit, and AI Project-Manager Contract","Create the cumulative blueprint pack, analyze uploaded Plans/current flow/tracker/chat context, define non-negotiable architecture decisions, and establish strict AI-runner acceptance rules.",Give the AI project manager a grounded starting point before modifying workflows or adding nodes.,"Preserve this pack as the cumulative root for all future waves. | Record current system findings, main-flow runtime boundaries, tracker status, and prior plan coverage. | Define the target architecture as modular workflows plus an external pass planner/orchestrator, not one giant untestable graph. | Create machine-readable schemas for pass plans, QA manifests, model registry entries, and scene requests. | Require every future wave to update manifests, validation reports, and cumulative docs."
01,"Repository Structure, Runtime Inventory, and Validation Harness","Create the build repository layout, inventory all workflows/models/custom nodes/scripts, and implement validation that prevents broken paths, bad JSON, missing nodes, and stale manifests.",Stop workflow growth from becoming untraceable and make every change testable before expensive GPU execution.,"Create canonical folders for workflows, subgraphs, configs, schemas, registries, examples, tests, QA evidence, and releases. | Implement validators for JSON parse, ComfyUI workflow format, missing node classes, missing model filenames, and duplicate IDs. | Create object_info snapshot requirements from the live ComfyUI instance. | Require a pass/fail validation report before any workflow can be promoted. | Keep original uploaded flow read-only as source evidence."
02,"Main Flow Deconstruction, Modularization, and Subgraph Strategy","Break the current main flow into production modules: base generation, refine, inpaint/detail, identity, control maps, upscale, QA, and video/audio handoff.",Replace the giant catalog-style canvas with clean reusable execution modules and subgraphs.,Separate active runtime lanes from disabled library/catalog nodes. | Convert reusable lane groups into ComfyUI subgraphs where stable. | Create API-format workflow templates for each production module. | Remove catalog-only nodes from active production graphs; keep catalog registries outside the graph. | Produce before/after graph inventory and reachability reports.
03,Engine Compatibility Registry and Multi-Engine Router,"Build a router for Flux, SDXL/RealVisXL, Pony, SD1.5, Z-Image, and future engines, including model/LoRA compatibility and pass-role constraints.",Prevent wrong-engine LoRA usage and allow specialty passes only where they belong.,"Create model_family, checkpoint, VAE, CLIP/text-encoder, LoRA, ControlNet, IPAdapter, video model, and audio provider registries. | Tag every model/LoRA by engine, role, verified status, risk, preferred pass, and allowed mask scope. | Block disabled/rejected review assets from automatic selection. | Require engine transitions through decoded images unless a latent bridge is proven. | Create router decisions with reason, selected module, fallback, and QA expectations."
04,"Scene Request Schema, Character Bible, and Identity Reference System","Define how users describe characters, references, target traits, outfits, body proportions, skin details, and scene requirements.",Make character accuracy repeatable without relying on one long prompt or random LoRA stacking.,"Create per-character IDs and character bibles for face, hair, body, outfit, skin, expression, and voice. | Separate identity references from body-shape references, detail references, and pose/camera references. | Define FaceID/IPAdapter/IPAdapter-face reference weights by pass and engine. | Create identity QA requirements: face match, hair match, body silhouette match, outfit match, no identity drift. | Require reference assets to have hashes, version tags, and target usage scopes."
05,"Pose, Camera, Depth, and Control Map System","Create a control-map factory for DWPose/OpenPose, hand pose, face landmarks, depth, normal, Canny, lineart, segmentation preview, and camera framing.",Solve pose/camera failures as geometry/control problems instead of prompt-only problems.,"Add preprocess workflows for pose, hands, face, depth, normal, Canny/lineart, and camera composition. | Save all control maps with run IDs and hashes. | Create strength schedules for base pass vs refine pass. | Require pose/camera QA before body/detail passes run. | Rerun base generation if pose, character count, or camera angle fails."
06,Mask Factory and Body-Part/Instance Segmentation,"Create automatic and operator-correctable masks for people, per-character instances, face, hair, hands, torso, stomach, waist, hips, thighs, clothing, background, and contact zones.",Make all local edits spatially controlled and prevent chopped-body artifacts.,"Implement person instance masks for character A/B/C/D/E. | Implement body-part masks and mask overlays for QA. | Add mask grow, erode, blur, feather, and falloff presets. | Classify requested edits into small, medium, large, and contact masks. | Require mask QA before inpaint/detail passes can modify the image."
07,Autonomous Pass Planner and ComfyUI API Orchestrator,"Build the controller that converts a scene request into ordered passes, runs ComfyUI workflows through the API, collects outputs, runs QA, and selects reruns/repairs.","Make the system know when to run first pass, second pass, third pass, etc.","Implement pass_plan.schema.json and pass_plan_builder. | Use ComfyUI API /prompt, /history, /object_info, /upload/image, and WebSocket progress tracking. | Store every pass input, model selection, workflow hash, output hash, mask hash, and QA result. | Implement rerun rules for pose, identity, body shape, hands, contact, mask bleed, and upscale artifacts. | Never promote outputs directly from notes, catalog nodes, or unverified lanes."
08,Image Base Generation Lanes,"Build reliable base-image generation modules for Flux-first, SDXL/RealVisXL, Z-Image, and fallback routes.","Produce the correct character count, body silhouette, pose, camera, lighting, and composition before detail work starts.","Implement Flux1-dev base as the preferred high-control base lane unless a router decision says otherwise. | Add SDXL/RealVisXL base fallback and Z-Image exploratory lane. | Restrict base LoRAs to zero to two neutral global LoRAs unless verified. | Require base QA: character count, pose, camera, silhouette, identity, composition, and no major anatomy failures. | Save approved base images and control maps for all downstream passes."
09,Image Refine and Specialty Engine Passes,"Build low-denoise SDXL/RealVisXL/Pony/Flux specialty passes for improving realism without changing identity, pose, or body layout.",Allow unique engine/model strengths without contaminating the full base image.,"Bridge engines through decoded images unless proven latent conversion exists. | Implement full-image realism refine at low denoise and masked specialty refiners for engine-specific LoRAs. | Add Pony only as a specialty pass unless proven as a base engine for the selected style. | Require no identity swap, no pose change, no body merge, no style drift. | Store before/after comparisons and reject overprocessed or waxy results."
10,"Body Shape, Proportion, and Morphing Correction","Implement large-mask body correction passes for stomach, waist, hips, shoulders, thighs, body silhouette, and proportional targets.",Fix body-shape accuracy with masks and control maps instead of prompt-only requests.,Use large masks for silhouette/proportion corrections and small masks only for texture. | Include surrounding anatomy and clothing seams in large masks to prevent chopped composites. | Use depth/edge guidance for large body-shape edits. | QA measurements must compare waist/hip/shoulder/stomach silhouette to target thresholds. | Rerun base instead of inpainting when pose/camera/character count is fundamentally wrong.
11,"Skin, Fabric, Cellulite, Blemish, and Surface Microdetail Lanes","Create masked detail passes for cellulite, pores, freckles, blemishes, fabric folds, compression marks, wetness/sweat/oil, makeup, hair strands, and clothing texture.",Localize realism details to exact body parts/materials and stop detail LoRAs from bleeding globally.,"Use small/medium masks for texture and surface details. | Map each requested surface detail to an allowed engine/model pass and target body/clothing region. | Use low denoise for microdetail and require mask feathering. | QA must prove details appear only inside the intended target region. | Reject over-sharpened pores, smeared texture, fake plastic skin, hard mask edges, and detail bleed."
12,"Face, Hands, Feet, and Hard-Anatomy Detailers","Build strict crop/detail/inpaint lanes for face, eyes, teeth, hairline, hands, fingers, nails, feet, toes, and other high-failure anatomy.","Solve rough hands/faces through dedicated detailers, not global prompts.","Use detector/crop/detailer workflows with mask overlays. | Use hand pose/keypoint guidance where available. | Restrict hand/body-part LoRAs to masked hand/detail passes. | QA finger count, readable fingers, attachment, scale, symmetry, natural texture, and no fused/extra digits. | Block promotion if contact hands fail strict visual QA."
13,"Soft-Body Contact, Collision, Deformation, and Indentation Lanes","Build contact-zone workflows for hand/body/object interaction, skin compression, indentation, pull/push deformation, contact shadows, occlusion, and soft-body visual believability.","Create visual soft-body realism as masked contact deformation passes with proof, not as global physics prompts.","Build combined masks: hand/object mask + target body area + contact zone + falloff region. | Use pose/depth/normal guidance to lock contact geometry and prevent body penetration. | Add contact-shadow and compression detail prompts only inside bounded masks. | QA must inspect contact crops for readable hands, plausible pressure, no merged anatomy, no impossible collision. | If contact geometry fails, rerun pose/base or contact pass; do not upscale failed contact."
14,"Multi-Character Scene Graph, Layout, and Reference Isolation","Create robust 1–5 character scene control with per-character IDs, references, masks, regions, depth order, pose, gaze, expression, outfit, and identity locks.",Prevent multiple characters from merging into one body and make each person controllable.,"Never treat multi-character scenes as one giant prompt. | Create per-character prompt blocks and per-character reference/mask bindings. | Use instance masks and layout bounding regions for every character. | QA character count, region occupancy, identity isolation, depth order, and no body-part merge. | Require rerun of layout/base pass when character count or separation fails."
15,"Multi-Character Interaction, Occlusion, and Object/Prop Handling","Add character-to-character and character-to-object interaction control, object continuity, handoffs, occlusion, grip, contact points, and scene-graph timeline events.",Make interactions believable without body/limb merging.,"Bind every interaction to source entity, target entity/object, body part, contact zone, and timing. | Use interaction masks and depth/occlusion maps before detail passes. | Track object identity, position, scale, and hand contact across image/video frames. | QA interaction crops for each contact pair and object/hand relationship. | Reject merged people, duplicated objects, impossible handoffs, and incorrect occlusion."
