requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W74-0001,74,autonomous_simulation_backend_adapters,Define adapter requirement simulation_request_schema,simulation_request_schema,"Autonomously implement or block machine-readable request for region, owner, motion, gravity, contact objects, softness, damping, frames, and ComfyUI map outputs; never require interactive/manual backend work during normal execution.","simulation_request_schema has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:simulation_request_schema,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0002,74,autonomous_simulation_backend_adapters,Define adapter requirement backend_capability_matrix,backend_capability_matrix,"Autonomously implement or block capability table for Blender, Houdini, Unreal, DAZ, Marvelous, and fallback ComfyUI-only approximation; never require interactive/manual backend work during normal execution.","backend_capability_matrix has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:backend_capability_matrix,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0003,74,autonomous_simulation_backend_adapters,Define adapter requirement backend_availability_license_check,backend_availability_license_check,"Autonomously implement or block detect installed backend, license availability, command path, version, and allowed execution mode without blocking current project work; never require interactive/manual backend work during normal execution.","backend_availability_license_check has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:backend_availability_license_check,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0004,74,autonomous_simulation_backend_adapters,Define adapter requirement backend_selector_policy,backend_selector_policy,Autonomously implement or block choose cheapest valid backend; Blender first; optional Houdini/Unreal/Marvelous/DAZ only when available and required; never require interactive/manual backend work during normal execution.,"backend_selector_policy has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:backend_selector_policy,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0005,74,autonomous_simulation_backend_adapters,Define adapter requirement blender_background_adapter,blender_background_adapter,"Autonomously implement or block Blender command-line/background adapter for import, fitting, map baking, render-pass export, and validation; never require interactive/manual backend work during normal execution.","blender_background_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:blender_background_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0006,74,autonomous_simulation_backend_adapters,Define adapter requirement houdini_hython_hbatch_adapter,houdini_hython_hbatch_adapter,Autonomously implement or block optional Houdini adapter for procedural/SDF/Vellum-style simulations and advanced collision fields; never require interactive/manual backend work during normal execution.,"houdini_hython_hbatch_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:houdini_hython_hbatch_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0007,74,autonomous_simulation_backend_adapters,Define adapter requirement unreal_python_commandlet_adapter,unreal_python_commandlet_adapter,"Autonomously implement or block optional Unreal adapter for physics assets, animation, real-time simulation, and rendered pass export; never require interactive/manual backend work during normal execution.","unreal_python_commandlet_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:unreal_python_commandlet_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0008,74,autonomous_simulation_backend_adapters,Define adapter requirement daz_prototype_export_adapter,daz_prototype_export_adapter,Autonomously implement or block optional DAZ script adapter for prototype export; not production physics authority; never require interactive/manual backend work during normal execution.,"daz_prototype_export_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:daz_prototype_export_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0009,74,autonomous_simulation_backend_adapters,Define adapter requirement marvelous_clo_cloth_adapter,marvelous_clo_cloth_adapter,Autonomously implement or block optional Marvelous/CLO adapter for garment simulation/export where licensed; never require interactive/manual backend work during normal execution.,"marvelous_clo_cloth_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:marvelous_clo_cloth_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
W74-0010,74,autonomous_simulation_backend_adapters,Define adapter requirement comfyui_only_approximation_adapter,comfyui_only_approximation_adapter,Autonomously implement or block fallback adapter using pose/depth/normal/SAM/optical-flow maps when true 3D simulation is unavailable; never require interactive/manual backend work during normal execution.,"comfyui_only_approximation_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,Deferred. Adapter implementation starts only after the schema and production-base requirements are stable and the current ComfyUI work is not blocked by this future layer.,W74:autonomous_simulation_backend_adapters:comfyui_only_approximation_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51
