requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W77-0001,77,self_hosted_supervisor_runtime,Define G7e LLM runtime profile,g7e_llm_runtime_profile,"Autonomously define, execute when activated, validate, and evidence g7e_llm_runtime_profile. It must support G7e.2xlarge, G7e.4xlarge, and G7e.12xlarge selection for supervisor, VLM, code, RAG, and adapter workloads, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","g7e_llm_runtime_profile is complete only when it has schema/config, adapter or deterministic implementation route, runtime profile with cost and concurrency limits, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",g7e_llm_runtime_profile_schema_or_contract_json; g7e_llm_runtime_profile_execution_or_adapter_manifest_json; g7e_llm_runtime_profile_artifact_manifest_with_hashes; g7e_llm_runtime_profile_preview_overlay_or_metric_report; g7e_llm_runtime_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:g7e_llm_runtime_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0002,77,self_hosted_supervisor_runtime,Define self-hosted model serving adapter,vllm_sglang_tgi_serving_adapter,"Autonomously define, execute when activated, validate, and evidence vllm_sglang_tgi_serving_adapter. It must support vLLM, SGLang, or TGI style inference serving with health checks and model registry binding, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","vllm_sglang_tgi_serving_adapter is complete only when it has schema/config, adapter or deterministic implementation route, model server adapter manifest, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",vllm_sglang_tgi_serving_adapter_schema_or_contract_json; vllm_sglang_tgi_serving_adapter_execution_or_adapter_manifest_json; vllm_sglang_tgi_serving_adapter_artifact_manifest_with_hashes; vllm_sglang_tgi_serving_adapter_preview_overlay_or_metric_report; vllm_sglang_tgi_serving_adapter_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:vllm_sglang_tgi_serving_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0003,77,self_hosted_supervisor_runtime,Register supervisor reasoning model,supervisor_reasoning_model_registry,"Autonomously define, execute when activated, validate, and evidence supervisor_reasoning_model_registry. It must support high-end reasoning/planning model for work orders, rerun decisions, tracker updates, and blocker writing, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","supervisor_reasoning_model_registry is complete only when it has schema/config, adapter or deterministic implementation route, model registry record and prompt contract, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",supervisor_reasoning_model_registry_schema_or_contract_json; supervisor_reasoning_model_registry_execution_or_adapter_manifest_json; supervisor_reasoning_model_registry_artifact_manifest_with_hashes; supervisor_reasoning_model_registry_preview_overlay_or_metric_report; supervisor_reasoning_model_registry_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:supervisor_reasoning_model_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0004,77,self_hosted_supervisor_runtime,Register visual review VLM,visual_review_vlm_registry,"Autonomously define, execute when activated, validate, and evidence visual_review_vlm_registry. It must support multimodal review of DAZ references, fitted mesh overlays, masks, maps, frame grids, and generated outputs, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","visual_review_vlm_registry is complete only when it has schema/config, adapter or deterministic implementation route, VLM registry record and review prompt pack, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",visual_review_vlm_registry_schema_or_contract_json; visual_review_vlm_registry_execution_or_adapter_manifest_json; visual_review_vlm_registry_artifact_manifest_with_hashes; visual_review_vlm_registry_preview_overlay_or_metric_report; visual_review_vlm_registry_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:visual_review_vlm_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0005,77,self_hosted_supervisor_runtime,Register code and adapter model,code_adapter_model_registry,"Autonomously define, execute when activated, validate, and evidence code_adapter_model_registry. It must support Blender Python, Maya Python, Houdini scripts, validators, schema fixes, and adapter repair, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","code_adapter_model_registry is complete only when it has schema/config, adapter or deterministic implementation route, code model registry record, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",code_adapter_model_registry_schema_or_contract_json; code_adapter_model_registry_execution_or_adapter_manifest_json; code_adapter_model_registry_artifact_manifest_with_hashes; code_adapter_model_registry_preview_overlay_or_metric_report; code_adapter_model_registry_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:code_adapter_model_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0006,77,self_hosted_supervisor_runtime,Register cheap routine helper model,small_fast_local_model_registry,"Autonomously define, execute when activated, validate, and evidence small_fast_local_model_registry. It must support low-cost JSON checks, summaries, routing, and simple review so expensive G7e calls are minimized, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","small_fast_local_model_registry is complete only when it has schema/config, adapter or deterministic implementation route, small model registry record, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",small_fast_local_model_registry_schema_or_contract_json; small_fast_local_model_registry_execution_or_adapter_manifest_json; small_fast_local_model_registry_artifact_manifest_with_hashes; small_fast_local_model_registry_preview_overlay_or_metric_report; small_fast_local_model_registry_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:self_hosted_supervisor_runtime:small_fast_local_model_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Self Hosted Supervisor Runtime,32,45
W77-0007,77,supervisor_rag_evidence_memory,Build Plan Items Tracker RAG index,plan_items_tracker_rag_index,"Autonomously define, execute when activated, validate, and evidence plan_items_tracker_rag_index. It must support retrieval over Plan, Items, Tracker, schemas, evidence, adapter docs, tool docs, and past QA reports, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","plan_items_tracker_rag_index is complete only when it has schema/config, adapter or deterministic implementation route, versioned RAG index manifest, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",plan_items_tracker_rag_index_schema_or_contract_json; plan_items_tracker_rag_index_execution_or_adapter_manifest_json; plan_items_tracker_rag_index_artifact_manifest_with_hashes; plan_items_tracker_rag_index_preview_overlay_or_metric_report; plan_items_tracker_rag_index_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:supervisor_rag_evidence_memory:plan_items_tracker_rag_index,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Supervisor RAG And Evidence Memory,47,59
W77-0008,77,supervisor_rag_evidence_memory,Build physics tool manual index,physics_tool_manual_index,"Autonomously define, execute when activated, validate, and evidence physics_tool_manual_index. It must support tool-specific retrieval for Blender, Houdini, Unreal, Maya, MotionBuilder, Cascadeur, Marvelous, Substance, ZBrush, and ComfyUI nodes, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","physics_tool_manual_index is complete only when it has schema/config, adapter or deterministic implementation route, tool manual citation index, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",physics_tool_manual_index_schema_or_contract_json; physics_tool_manual_index_execution_or_adapter_manifest_json; physics_tool_manual_index_artifact_manifest_with_hashes; physics_tool_manual_index_preview_overlay_or_metric_report; physics_tool_manual_index_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:supervisor_rag_evidence_memory:physics_tool_manual_index,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Supervisor RAG And Evidence Memory,47,59
W77-0009,77,supervisor_rag_evidence_memory,Define evidence-first decision policy,evidence_first_decision_policy,"Autonomously define, execute when activated, validate, and evidence evidence_first_decision_policy. It must support hard rule that LLM/VLM review cannot override failed deterministic geometry, map, contact, or QA metrics, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","evidence_first_decision_policy is complete only when it has schema/config, adapter or deterministic implementation route, decision policy JSON, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",evidence_first_decision_policy_schema_or_contract_json; evidence_first_decision_policy_execution_or_adapter_manifest_json; evidence_first_decision_policy_artifact_manifest_with_hashes; evidence_first_decision_policy_preview_overlay_or_metric_report; evidence_first_decision_policy_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:supervisor_rag_evidence_memory:evidence_first_decision_policy,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Supervisor RAG And Evidence Memory,47,59
W77-0010,77,supervisor_rag_evidence_memory,Define hallucination guardrail contract,hallucination_guardrail_contract,"Autonomously define, execute when activated, validate, and evidence hallucination_guardrail_contract. It must support source citations, exact evidence paths, no guessed pass/fail, confidence scores, and blocker on missing evidence, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","hallucination_guardrail_contract is complete only when it has schema/config, adapter or deterministic implementation route, guardrail contract JSON, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",hallucination_guardrail_contract_schema_or_contract_json; hallucination_guardrail_contract_execution_or_adapter_manifest_json; hallucination_guardrail_contract_artifact_manifest_with_hashes; hallucination_guardrail_contract_preview_overlay_or_metric_report; hallucination_guardrail_contract_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W77:supervisor_rag_evidence_memory:hallucination_guardrail_contract,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE77_AUTONOMOUS_PHYSICS_AI_SUPERVISOR_MULTIMODAL_REVIEW_AGENT.md,Supervisor RAG And Evidence Memory,47,59
