Authority_ID,Requirement,Required_Output,Autonomous_Blocker,QA_Gates
MBGA-001,Probe local model-backed geometry dependencies and model files,model_geometry_dependency_probe.json,Blocked_Model_Geometry_Dependency_Missing,dependency_probe_pass; no_human_work_dependency; exact_blocker_if_missing
MBGA-002,Implement face landmark authority for dense face anchors,face_landmark_authority.json,Blocked_Model_Geometry_Dependency_Missing,landmark_detection_pass; subject_viewer_side_mapping_pass; coordinate_transform_manifest_pass
MBGA-003,Implement semantic face parsing authority,face_parsing_authority.json,Blocked_Model_Geometry_Dependency_Missing,semantic_region_parse_pass; protected_region_parse_pass; model_confidence_recorded
MBGA-004,Implement promptable segmentation refinement adapter,segmentation_refinement_authority.json,Blocked_Model_Geometry_Dependency_Missing,sam_refinement_pass; positive_negative_prompt_manifest_pass; stability_score_recorded
MBGA-005,Implement visibility and occlusion confidence resolver,visibility_occlusion_confidence.json,Blocked_Model_Geometry_Low_Confidence,visibility_state_pass; no_symmetry_guessing_pass; occlusion_blocker_written
MBGA-006,Register user annotated gold trace dataset,gold_trace_dataset_manifest.json,Blocked_Gold_Trace_Not_Available,gold_trace_schema_pass; image_hash_match_pass; no_future_human_dependency
MBGA-007,Implement model consensus validator,model_consensus_geometry_validator.json,Blocked_Model_Geometry_Disagreement,landmark_parse_sam_consensus_pass; iou_boundary_center_metrics_pass; protected_overlap_threshold_pass
MBGA-008,Export canonical source-derived polygons,canonical_geometry_polygon_export.json,Blocked_Canonical_Boundary_Not_Available,canonical_polygon_schema_pass; coordinate_space_pass; protected_neighbor_pass
MBGA-009,Generate masks only from canonical polygons or segmentation maps,canonical_polygon_mask_generator.json,Blocked_Wave70_Mask_Geometry_Gate_Not_Passed,mask_from_canonical_geometry_pass; no_debug_rectangle_mask_pass; geometry_gate_pass
MBGA-010,Extend authority pattern to body hands clothing contact and video,body_hand_contact_geometry_authority.json,Blocked_Model_Geometry_Dependency_Missing,pose_hand_segmentation_route_declared; temporal_visibility_route_declared; blocker_policy_pass
MBGA-011,Validate model-backed geometry across reference image matrix,model_geometry_reference_matrix.json,Blocked_Reference_Matrix_Not_Run,reference_image_matrix_pass; cross_subject_generalization_pass; source_visibility_matrix_pass
MBGA-012,Integrate model-backed authority into Wave70 promotion gate,model_backed_geometry_promotion_integration.json,Blocked_Model_Geometry_Authority_Not_Integrated,model_backed_geometry_authority_pass; wave70_mask_geometry_gate_pass; wave70_mask_promotion_gate_pass
