requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W75-0001,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement conditioning_package_manifest,conditioning_package_manifest,"Autonomously package, route, validate, and QA standard ComfyUI conditioning package manifest for simulation-derived outputs.","conditioning_package_manifest passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:conditioning_package_manifest,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0002,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement pose_map_ingestion,pose_map_ingestion,"Autonomously package, route, validate, and QA OpenPose/DWPose/SDPose-compatible pose map ingestion from rig/sim/reference frames.","pose_map_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:pose_map_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0003,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement depth_map_ingestion,depth_map_ingestion,"Autonomously package, route, validate, and QA Depth Anything/MoGe/Zoe/MiDaS-compatible depth map normalization and route proof.","depth_map_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:depth_map_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0004,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement normal_map_ingestion,normal_map_ingestion,"Autonomously package, route, validate, and QA normal_bae/MoGe/DSINE normal map normalization including OpenGL/DirectX convention metadata.","normal_map_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:normal_map_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0005,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement segmentation_body_part_mask_ingestion,segmentation_body_part_mask_ingestion,"Autonomously package, route, validate, and QA SAM/segmentation/body-part mask ingestion aligned with Wave70 masks.","segmentation_body_part_mask_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:segmentation_body_part_mask_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0006,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement contact_mask_ingestion,contact_mask_ingestion,"Autonomously package, route, validate, and QA contact, pressure, collision, occlusion, and support-surface masks for regional passes.","contact_mask_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:contact_mask_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0007,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement deformation_map_ingestion,deformation_map_ingestion,"Autonomously package, route, validate, and QA soft-body, gravity, compression, jiggle, ripple, rebound, morph, and corrective deformation maps.","deformation_map_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:deformation_map_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0008,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement optical_flow_motion_vector_ingestion,optical_flow_motion_vector_ingestion,"Autonomously package, route, validate, and QA flow/motion-vector ingestion for temporal consistency and motion QA.","optical_flow_motion_vector_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:optical_flow_motion_vector_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0009,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement audio_event_map_ingestion,audio_event_map_ingestion,"Autonomously package, route, validate, and QA footstep, hand contact, cloth rustle, support compression, mouth/breath event maps.","audio_event_map_ingestion passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:audio_event_map_ingestion,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
W75-0010,75,comfyui_physics_conditioning_package,Build ComfyUI conditioning requirement controlnet_route_builder,controlnet_route_builder,"Autonomously package, route, validate, and QA ControlNet route plan for pose/depth/normal/lineart/canny/segmentation maps.","controlnet_route_builder passes map normalization, route manifest, generated-output proof, whole-artifact QA, and target-runtime gate before certification.",conditioning_package_manifest; map_files_or_sequences; route_manifest_json; generated_output_artifact; technical_validation_report; whole_artifact_visual_qa; target_runtime_evidence_before_final,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after at least one production simulation package can be generated or approximated and the current ComfyUI runtime lanes are stable.,W75:comfyui_physics_conditioning_package:controlnet_route_builder,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE75_COMFYUI_PHYSICS_CONDITIONING_PACKAGE.md,Comfyui Physics Conditioning Package,23,51
