requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W81-0001,81,support_surface_taxonomy,Define mattress soft-surface profile,mattress_soft_surface_profile,"Autonomously define, execute when activated, validate, and evidence mattress_soft_surface_profile. It must support thickness, grid density, stiffness, damping, rebound, wrinkles, fabric normals, and body load response, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","mattress_soft_surface_profile is complete only when it has schema/config, adapter or deterministic implementation route, mattress profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",mattress_soft_surface_profile_schema_or_contract_json; mattress_soft_surface_profile_execution_or_adapter_manifest_json; mattress_soft_surface_profile_artifact_manifest_with_hashes; mattress_soft_surface_profile_preview_overlay_or_metric_report; mattress_soft_surface_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:mattress_soft_surface_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0002,81,support_surface_taxonomy,Define bed frame hard-support profile,bed_frame_hard_support_profile,"Autonomously define, execute when activated, validate, and evidence bed_frame_hard_support_profile. It must support non-deforming rigid support, occlusion, collision, contact shadow, and mattress coupling, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","bed_frame_hard_support_profile is complete only when it has schema/config, adapter or deterministic implementation route, bed frame profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",bed_frame_hard_support_profile_schema_or_contract_json; bed_frame_hard_support_profile_execution_or_adapter_manifest_json; bed_frame_hard_support_profile_artifact_manifest_with_hashes; bed_frame_hard_support_profile_preview_overlay_or_metric_report; bed_frame_hard_support_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:bed_frame_hard_support_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0003,81,support_surface_taxonomy,Define pillow soft-surface profile,pillow_soft_surface_profile,"Autonomously define, execute when activated, validate, and evidence pillow_soft_surface_profile. It must support head/neck/hand/body compression, wrinkles, rebound, and cloth/filling behavior, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","pillow_soft_surface_profile is complete only when it has schema/config, adapter or deterministic implementation route, pillow profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",pillow_soft_surface_profile_schema_or_contract_json; pillow_soft_surface_profile_execution_or_adapter_manifest_json; pillow_soft_surface_profile_artifact_manifest_with_hashes; pillow_soft_surface_profile_preview_overlay_or_metric_report; pillow_soft_surface_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:pillow_soft_surface_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0004,81,support_surface_taxonomy,Define blanket sheet fabric support profile,blanket_sheet_fabric_support_profile,"Autonomously define, execute when activated, validate, and evidence blanket_sheet_fabric_support_profile. It must support drape, stretch, wrinkle, fold, body contact, hand pull, and fabric pressure, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","blanket_sheet_fabric_support_profile is complete only when it has schema/config, adapter or deterministic implementation route, blanket sheet profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",blanket_sheet_fabric_support_profile_schema_or_contract_json; blanket_sheet_fabric_support_profile_execution_or_adapter_manifest_json; blanket_sheet_fabric_support_profile_artifact_manifest_with_hashes; blanket_sheet_fabric_support_profile_preview_overlay_or_metric_report; blanket_sheet_fabric_support_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:blanket_sheet_fabric_support_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0005,81,support_surface_taxonomy,Define couch cushion profile,couch_cushion_profile,"Autonomously define, execute when activated, validate, and evidence couch_cushion_profile. It must support soft seating support, multi-contact compression, rebound, fabric stretch, and crease behavior, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","couch_cushion_profile is complete only when it has schema/config, adapter or deterministic implementation route, couch cushion profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",couch_cushion_profile_schema_or_contract_json; couch_cushion_profile_execution_or_adapter_manifest_json; couch_cushion_profile_artifact_manifest_with_hashes; couch_cushion_profile_preview_overlay_or_metric_report; couch_cushion_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:couch_cushion_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0007,81,support_surface_taxonomy,Define hard chair profile,hard_chair_profile,"Autonomously define, execute when activated, validate, and evidence hard_chair_profile. It must support rigid chair contact, no deformation except contact shadow/friction/audio, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","hard_chair_profile is complete only when it has schema/config, adapter or deterministic implementation route, hard chair profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",hard_chair_profile_schema_or_contract_json; hard_chair_profile_execution_or_adapter_manifest_json; hard_chair_profile_artifact_manifest_with_hashes; hard_chair_profile_preview_overlay_or_metric_report; hard_chair_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:hard_chair_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0008,81,support_surface_taxonomy,Define hard floor wall table profile,hard_floor_wall_table_profile,"Autonomously define, execute when activated, validate, and evidence hard_floor_wall_table_profile. It must support rigid support surfaces with friction, contact shadow, collision, reflection, and audio force but no geometry deformation, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","hard_floor_wall_table_profile is complete only when it has schema/config, adapter or deterministic implementation route, hard surface profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",hard_floor_wall_table_profile_schema_or_contract_json; hard_floor_wall_table_profile_execution_or_adapter_manifest_json; hard_floor_wall_table_profile_artifact_manifest_with_hashes; hard_floor_wall_table_profile_preview_overlay_or_metric_report; hard_floor_wall_table_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:hard_floor_wall_table_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0009,81,support_surface_taxonomy,Define rug carpet soft-floor profile,rug_carpet_soft_floor_profile,"Autonomously define, execute when activated, validate, and evidence rug_carpet_soft_floor_profile. It must support shallow compression, fiber direction, foot/body contact, drag, shadow, and foley, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","rug_carpet_soft_floor_profile is complete only when it has schema/config, adapter or deterministic implementation route, rug carpet profile, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",rug_carpet_soft_floor_profile_schema_or_contract_json; rug_carpet_soft_floor_profile_execution_or_adapter_manifest_json; rug_carpet_soft_floor_profile_artifact_manifest_with_hashes; rug_carpet_soft_floor_profile_preview_overlay_or_metric_report; rug_carpet_soft_floor_profile_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_taxonomy:rug_carpet_soft_floor_profile,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Taxonomy,32,48
W81-0010,81,support_surface_maps,Define support contact patch maps,support_contact_patch_maps,"Autonomously define, execute when activated, validate, and evidence support_contact_patch_maps. It must support where body, hands, feet, clothing, hair, props, or other characters touch support surfaces, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","support_contact_patch_maps is complete only when it has schema/config, adapter or deterministic implementation route, contact patch maps, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",support_contact_patch_maps_schema_or_contract_json; support_contact_patch_maps_execution_or_adapter_manifest_json; support_contact_patch_maps_artifact_manifest_with_hashes; support_contact_patch_maps_preview_overlay_or_metric_report; support_contact_patch_maps_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_maps:support_contact_patch_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Maps,50,65
W81-0011,81,support_surface_maps,Define support pressure load maps,support_pressure_load_maps,"Autonomously define, execute when activated, validate, and evidence support_pressure_load_maps. It must support pressure distribution from body mass, pose, center of mass, clothing, and multi-character contact, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","support_pressure_load_maps is complete only when it has schema/config, adapter or deterministic implementation route, pressure load maps, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",support_pressure_load_maps_schema_or_contract_json; support_pressure_load_maps_execution_or_adapter_manifest_json; support_pressure_load_maps_artifact_manifest_with_hashes; support_pressure_load_maps_preview_overlay_or_metric_report; support_pressure_load_maps_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W81:support_surface_maps:support_pressure_load_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE81_SUPPORT_SURFACE_PHYSICS_CONTACT_COMPRESSION_DEFORMATION.md,Support Surface Maps,50,65
