requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_review_required,video_review_required,audio_review_required,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W72-0001,72,daz_prototype_intake_and_universal_base,Build daz_prototype_asset_contract,daz_prototype_asset_contract,"Autonomously validate, register, or generate evidence for DAZ prototype package schema for source sculpt, reference renders, optional hair/clothes, textures, body-region metadata, and export paths.","daz_prototype_asset_contract is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:daz_prototype_asset_contract,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0002,72,daz_prototype_intake_and_universal_base,Build universal_a_t_pose_requirement,universal_a_t_pose_requirement,"Autonomously validate, register, or generate evidence for A/T-pose normalization and rejection of prototypes that cannot be aligned without severe distortion.","universal_a_t_pose_requirement is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:universal_a_t_pose_requirement,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0003,72,daz_prototype_intake_and_universal_base,Build daz_silent_export_adapter,daz_silent_export_adapter,"Autonomously validate, register, or generate evidence for scriptable DAZ export route for FBX/OBJ/textures/reference renders when DAZ is available.","daz_silent_export_adapter is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:daz_silent_export_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0004,72,daz_prototype_intake_and_universal_base,Build prototype_registry,prototype_registry,"Autonomously validate, register, or generate evidence for character_prototype_id registry with version, source files, hashes, body type, and allowed use.","prototype_registry is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:prototype_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0005,72,daz_prototype_intake_and_universal_base,Build prototype_measurement_extractor,prototype_measurement_extractor,"Autonomously validate, register, or generate evidence for height, limb lengths, torso volume, shoulder/hip/waist/chest/thigh/arm proportions.","prototype_measurement_extractor is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:prototype_measurement_extractor,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0006,72,daz_prototype_intake_and_universal_base,Build prototype_reference_render_set,prototype_reference_render_set,"Autonomously validate, register, or generate evidence for orthographic front/side/back/three-quarter reference renders plus silhouette/depth captures.","prototype_reference_render_set is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:prototype_reference_render_set,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0007,72,daz_prototype_intake_and_universal_base,Build prototype_landmark_detector,prototype_landmark_detector,"Autonomously validate, register, or generate evidence for face, joints, hands, feet, pelvis, chest, abdomen, body contour, garment and hair landmarks.","prototype_landmark_detector is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:prototype_landmark_detector,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0008,72,daz_prototype_intake_and_universal_base,Build universal_production_base_mesh_spec,universal_production_base_mesh_spec,"Autonomously validate, register, or generate evidence for high-end Blender-owned base figure with stable topology, UVs, landmarks, vertex groups, Wave70 masks, and Wave71 physics IDs.","universal_production_base_mesh_spec is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:universal_production_base_mesh_spec,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0009,72,daz_prototype_intake_and_universal_base,Build production_base_version_registry,production_base_version_registry,"Autonomously validate, register, or generate evidence for immutable base mesh versions and compatibility with rig, maps, and ComfyUI exporters.","production_base_version_registry is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:production_base_version_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
W72-0010,72,daz_prototype_intake_and_universal_base,Build topology_uv_invariant_gate,topology_uv_invariant_gate,"Autonomously validate, register, or generate evidence for fit operation cannot change topology, UV layout, vertex order, or required named groups.","topology_uv_invariant_gate is complete only with schema, scripts or adapter stubs, sample manifest, validation evidence, fit/visual QA where applicable, and blocker behavior if unavailable.",schema_or_contract_json; adapter_or_process_spec; example_manifest; validation_report_json; visual_reference_or_overlay; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,true,true,false,false,true,Deferred_Required_Not_Complete,"Deferred. Do not implement until the current ComfyUI generation system, Wave70 mask coverage, and Wave71 map taxonomy are stable enough to consume production-body physics work.",W72:daz_prototype_intake_and_universal_base:topology_uv_invariant_gate,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE72_DAZ_PROTOTYPE_UNIVERSAL_PRODUCTION_BASE_FITTING.md,Daz Prototype Intake And Universal Base,23,51
