requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_review_required,video_review_required,audio_review_required,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W76-0001,76,physics_deformation_qa_certification,Certify QA requirement physics_certification_manifest,physics_certification_manifest,"Autonomously run or require strict evidence for one certification manifest tying request, prototype, production base, simulation package, ComfyUI outputs, and QA evidence.","physics_certification_manifest is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:physics_certification_manifest,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0002,76,physics_deformation_qa_certification,Certify QA requirement full_frame_visual_qa,full_frame_visual_qa,"Autonomously run or require strict evidence for whole-image/full-frame review for anatomy, identity, hands, feet, face, clothing, props, background, contact, and artifacts.","full_frame_visual_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:full_frame_visual_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0003,76,physics_deformation_qa_certification,Certify QA requirement full_duration_video_qa,full_duration_video_qa,"Autonomously run or require strict evidence for full clip plus representative frame-grid review for drift, flicker, temporal popping, motion, contact, and loop/cut boundaries.","full_duration_video_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:full_duration_video_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0004,76,physics_deformation_qa_certification,Certify QA requirement full_duration_audio_qa,full_duration_audio_qa,"Autonomously run or require strict evidence for audio playback review for clipping, noise, event timing, foley, breath, cloth, support contact, and AV sync.","full_duration_audio_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:full_duration_audio_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0005,76,physics_deformation_qa_certification,Certify QA requirement mesh_collision_qa,mesh_collision_qa,"Autonomously run or require strict evidence for no clipping, no penetration, collision ownership, backstop behavior, and proxy alignment.","mesh_collision_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:mesh_collision_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0006,76,physics_deformation_qa_certification,Certify QA requirement visual_collision_qa,visual_collision_qa,"Autonomously run or require strict evidence for generated image/video shows plausible contact, no floating limbs, no impossible overlaps, no contact shadow errors.","visual_collision_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:visual_collision_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0007,76,physics_deformation_qa_certification,Certify QA requirement gravity_plausibility_qa,gravity_plausibility_qa,"Autonomously run or require strict evidence for body gravity, body-part gravity, contact load, sag, drape, rebound, and settling are plausible for scene orientation.","gravity_plausibility_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:gravity_plausibility_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0008,76,physics_deformation_qa_certification,Certify QA requirement soft_body_motion_qa,soft_body_motion_qa,"Autonomously run or require strict evidence for jiggle, bounce, shake, ripple, rebound, damping, and decay are plausible and not cartoonish unless requested.","soft_body_motion_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:soft_body_motion_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0009,76,physics_deformation_qa_certification,Certify QA requirement shape_identity_continuity_qa,shape_identity_continuity_qa,"Autonomously run or require strict evidence for body shape, face identity, proportions, hands, feet, and clothing ownership do not drift across frames or rerenders.","shape_identity_continuity_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:shape_identity_continuity_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
W76-0010,76,physics_deformation_qa_certification,Certify QA requirement material_surface_detail_qa,material_surface_detail_qa,"Autonomously run or require strict evidence for skin pores, wrinkles, cellulite, folds, dents, fabric stress, and surface detail are localized and not over-sharpened.","material_surface_detail_qa is complete only when strict evidence proves full-artifact visual/video/audio and physics-specific QA passed, or a precise blocker is recorded.",qa_manifest_json; technical_validation_report; visual_review_report; video_review_report_when_applicable; audio_review_report_when_applicable; failure_classification_or_pass_record; promotion_decision_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,false,true,false,Deferred_Required_Not_Complete,Deferred. Activate after Waves 71-75 have implementation artifacts or approximation packages requiring certification.,W76:physics_deformation_qa_certification:material_surface_detail_qa,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE76_PHYSICS_DEFORMATION_QA_CERTIFICATION.md,Physics Deformation Qa Certification,23,51
