requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_review_required,video_review_required,audio_review_required,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W83-0001,83,zbrush_source_asset_boundary,Register ZBrush universal base sculpt source,zbrush_universal_base_sculpt_source,"Autonomously define, execute when activated, validate, and evidence zbrush_universal_base_sculpt_source. It must support offline high-end production sculpt reference for the universal base, not per-request manual work, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","zbrush_universal_base_sculpt_source is complete only when it has schema/config, adapter or deterministic implementation route, ZBrush base source registry, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",zbrush_universal_base_sculpt_source_schema_or_contract_json; zbrush_universal_base_sculpt_source_execution_or_adapter_manifest_json; zbrush_universal_base_sculpt_source_artifact_manifest_with_hashes; zbrush_universal_base_sculpt_source_preview_overlay_or_metric_report; zbrush_universal_base_sculpt_source_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:zbrush_source_asset_boundary:zbrush_universal_base_sculpt_source,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,ZBrush Source Asset Boundary,32,43
W83-0002,83,zbrush_source_asset_boundary,Register ZBrush alpha brush library,zbrush_alpha_brush_library,"Autonomously define, execute when activated, validate, and evidence zbrush_alpha_brush_library. It must support pores, wrinkles, stretch marks, fabric creases, skin folds, pressure marks, and sculpt detail sources, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","zbrush_alpha_brush_library is complete only when it has schema/config, adapter or deterministic implementation route, alpha brush manifest, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",zbrush_alpha_brush_library_schema_or_contract_json; zbrush_alpha_brush_library_execution_or_adapter_manifest_json; zbrush_alpha_brush_library_artifact_manifest_with_hashes; zbrush_alpha_brush_library_preview_overlay_or_metric_report; zbrush_alpha_brush_library_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:zbrush_source_asset_boundary:zbrush_alpha_brush_library,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,ZBrush Source Asset Boundary,32,43
W83-0003,83,zbrush_source_asset_boundary,Register corrective sculpt reference library,zbrush_corrective_sculpt_reference_library,"Autonomously define, execute when activated, validate, and evidence zbrush_corrective_sculpt_reference_library. It must support pose-space, joint, muscle, grip, support compression, face, hand, foot, and soft-body corrective references, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","zbrush_corrective_sculpt_reference_library is complete only when it has schema/config, adapter or deterministic implementation route, corrective sculpt registry, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",zbrush_corrective_sculpt_reference_library_schema_or_contract_json; zbrush_corrective_sculpt_reference_library_execution_or_adapter_manifest_json; zbrush_corrective_sculpt_reference_library_artifact_manifest_with_hashes; zbrush_corrective_sculpt_reference_library_preview_overlay_or_metric_report; zbrush_corrective_sculpt_reference_library_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:zbrush_source_asset_boundary:zbrush_corrective_sculpt_reference_library,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,ZBrush Source Asset Boundary,32,43
W83-0004,83,zbrush_source_asset_boundary,Define ZBrush not-required runtime policy,zbrush_not_required_runtime_policy,"Autonomously define, execute when activated, validate, and evidence zbrush_not_required_runtime_policy. It must support ZBrush can provide source assets but Blender/Houdini/Maya/Substance must replace per-character unattended runtime tasks, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","zbrush_not_required_runtime_policy is complete only when it has schema/config, adapter or deterministic implementation route, ZBrush boundary policy, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",zbrush_not_required_runtime_policy_schema_or_contract_json; zbrush_not_required_runtime_policy_execution_or_adapter_manifest_json; zbrush_not_required_runtime_policy_artifact_manifest_with_hashes; zbrush_not_required_runtime_policy_preview_overlay_or_metric_report; zbrush_not_required_runtime_policy_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:zbrush_source_asset_boundary:zbrush_not_required_runtime_policy,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,ZBrush Source Asset Boundary,32,43
W83-0005,83,substance_material_automation,Bake skin material maps,substance_skin_material_baker,"Autonomously define, execute when activated, validate, and evidence substance_skin_material_baker. It must support color, normal, bump, displacement, roughness, curvature, AO, pores, wrinkles, moles, scars, freckles, pressure marks, and tension maps, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","substance_skin_material_baker is complete only when it has schema/config, adapter or deterministic implementation route, skin material package, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",substance_skin_material_baker_schema_or_contract_json; substance_skin_material_baker_execution_or_adapter_manifest_json; substance_skin_material_baker_artifact_manifest_with_hashes; substance_skin_material_baker_preview_overlay_or_metric_report; substance_skin_material_baker_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:substance_material_automation:substance_skin_material_baker,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Substance Material Automation,45,57
W83-0006,83,substance_material_automation,Bake fabric material maps,substance_fabric_material_baker,"Autonomously define, execute when activated, validate, and evidence substance_fabric_material_baker. It must support stretch, folds, seams, cuffs, hems, compression, wetness, transparency/sheerness risk, and cloth tension, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","substance_fabric_material_baker is complete only when it has schema/config, adapter or deterministic implementation route, fabric material package, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",substance_fabric_material_baker_schema_or_contract_json; substance_fabric_material_baker_execution_or_adapter_manifest_json; substance_fabric_material_baker_artifact_manifest_with_hashes; substance_fabric_material_baker_preview_overlay_or_metric_report; substance_fabric_material_baker_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:substance_material_automation:substance_fabric_material_baker,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Substance Material Automation,45,57
W83-0007,83,substance_material_automation,Bake support surface material maps,substance_support_surface_material_baker,"Autonomously define, execute when activated, validate, and evidence substance_support_surface_material_baker. It must support mattress, cushion, pillow, blanket, rug, carpet, hard surface, friction, pressure, contact shadow, and fabric normal maps, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","substance_support_surface_material_baker is complete only when it has schema/config, adapter or deterministic implementation route, support material package, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",substance_support_surface_material_baker_schema_or_contract_json; substance_support_surface_material_baker_execution_or_adapter_manifest_json; substance_support_surface_material_baker_artifact_manifest_with_hashes; substance_support_surface_material_baker_preview_overlay_or_metric_report; substance_support_surface_material_baker_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:substance_material_automation:substance_support_surface_material_baker,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Substance Material Automation,45,57
W83-0008,83,substance_material_automation,Bake pressure tension masks,substance_pressure_tension_mask_baker,"Autonomously define, execute when activated, validate, and evidence substance_pressure_tension_mask_baker. It must support contact redness/material response, indentation detail, fabric stretch, grip pressure, and support compression, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","substance_pressure_tension_mask_baker is complete only when it has schema/config, adapter or deterministic implementation route, pressure tension mask package, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",substance_pressure_tension_mask_baker_schema_or_contract_json; substance_pressure_tension_mask_baker_execution_or_adapter_manifest_json; substance_pressure_tension_mask_baker_artifact_manifest_with_hashes; substance_pressure_tension_mask_baker_preview_overlay_or_metric_report; substance_pressure_tension_mask_baker_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:substance_material_automation:substance_pressure_tension_mask_baker,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Substance Material Automation,45,57
W83-0009,83,substance_material_automation,Validate UDIM OCIO exports,substance_udim_ocio_export_gate,"Autonomously define, execute when activated, validate, and evidence substance_udim_ocio_export_gate. It must support UDIM tiles, color management, texture naming, map ranges, image dimensions, hashes, and ComfyUI import route, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","substance_udim_ocio_export_gate is complete only when it has schema/config, adapter or deterministic implementation route, texture export QA report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",substance_udim_ocio_export_gate_schema_or_contract_json; substance_udim_ocio_export_gate_execution_or_adapter_manifest_json; substance_udim_ocio_export_gate_artifact_manifest_with_hashes; substance_udim_ocio_export_gate_preview_overlay_or_metric_report; substance_udim_ocio_export_gate_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:substance_material_automation:substance_udim_ocio_export_gate,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Substance Material Automation,45,57
W83-0010,83,surface_detail_qa,Gate surface detail map values,surface_detail_map_value_gate,"Autonomously define, execute when activated, validate, and evidence surface_detail_map_value_gate. It must support normal, displacement, roughness, color, tension, compression, and wrinkle maps have valid ranges and no corrupt tiles, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","surface_detail_map_value_gate is complete only when it has schema/config, adapter or deterministic implementation route, map value QA report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",surface_detail_map_value_gate_schema_or_contract_json; surface_detail_map_value_gate_execution_or_adapter_manifest_json; surface_detail_map_value_gate_artifact_manifest_with_hashes; surface_detail_map_value_gate_preview_overlay_or_metric_report; surface_detail_map_value_gate_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W83:surface_detail_qa:surface_detail_map_value_gate,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE83_SCULPT_MATERIAL_SURFACE_DETAIL_MAP_PIPELINE.md,Surface Detail QA,59,69
