requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_review_required,video_review_required,audio_review_required,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W82-0001,82,daz_boundary_intake,Enforce DAZ neutral pose only gate,daz_neutral_pose_only_gate,"Autonomously define, execute when activated, validate, and evidence daz_neutral_pose_only_gate. It must support DAZ provides only the neutral A/T-pose character shape, optional hair/clothing reference, textures, and reference renders, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","daz_neutral_pose_only_gate is complete only when it has schema/config, adapter or deterministic implementation route, DAZ boundary validation, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",daz_neutral_pose_only_gate_schema_or_contract_json; daz_neutral_pose_only_gate_execution_or_adapter_manifest_json; daz_neutral_pose_only_gate_artifact_manifest_with_hashes; daz_neutral_pose_only_gate_preview_overlay_or_metric_report; daz_neutral_pose_only_gate_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:daz_boundary_intake:daz_neutral_pose_only_gate,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,DAZ Boundary And Intake,32,43
W82-0002,82,daz_boundary_intake,Enforce no DAZ runtime morphing gate,no_daz_runtime_morphing_gate,"Autonomously define, execute when activated, validate, and evidence no_daz_runtime_morphing_gate. It must support no DAZ hand pose libraries, dForce, runtime morphing, deformation, rigging, or simulation after prototype registration, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","no_daz_runtime_morphing_gate is complete only when it has schema/config, adapter or deterministic implementation route, no DAZ runtime gate evidence, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",no_daz_runtime_morphing_gate_schema_or_contract_json; no_daz_runtime_morphing_gate_execution_or_adapter_manifest_json; no_daz_runtime_morphing_gate_artifact_manifest_with_hashes; no_daz_runtime_morphing_gate_preview_overlay_or_metric_report; no_daz_runtime_morphing_gate_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:daz_boundary_intake:no_daz_runtime_morphing_gate,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,DAZ Boundary And Intake,32,43
W82-0003,82,daz_boundary_intake,Clean DAZ surface shell target,daz_surface_shell_cleanup,"Autonomously define, execute when activated, validate, and evidence daz_surface_shell_cleanup. It must support remove or isolate eyes, lashes, teeth, tongue, nails, hair, clothes, accessories, geografts, hidden surfaces, and non-body islands for wrap target creation, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","daz_surface_shell_cleanup is complete only when it has schema/config, adapter or deterministic implementation route, DAZ shell cleanup report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",daz_surface_shell_cleanup_schema_or_contract_json; daz_surface_shell_cleanup_execution_or_adapter_manifest_json; daz_surface_shell_cleanup_artifact_manifest_with_hashes; daz_surface_shell_cleanup_preview_overlay_or_metric_report; daz_surface_shell_cleanup_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:daz_boundary_intake:daz_surface_shell_cleanup,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,DAZ Boundary And Intake,32,43
W82-0004,82,daz_boundary_intake,Define hollow mesh non-blocker policy,hollow_mesh_non_blocker_policy,"Autonomously define, execute when activated, validate, and evidence hollow_mesh_non_blocker_policy. It must support treat DAZ surface shell as reference target only and generate production collision volumes/SDFs from fitted production mesh, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","hollow_mesh_non_blocker_policy is complete only when it has schema/config, adapter or deterministic implementation route, hollow mesh policy evidence, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",hollow_mesh_non_blocker_policy_schema_or_contract_json; hollow_mesh_non_blocker_policy_execution_or_adapter_manifest_json; hollow_mesh_non_blocker_policy_artifact_manifest_with_hashes; hollow_mesh_non_blocker_policy_preview_overlay_or_metric_report; hollow_mesh_non_blocker_policy_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:daz_boundary_intake:hollow_mesh_non_blocker_policy,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,DAZ Boundary And Intake,32,43
W82-0005,82,production_mesh_fitting,Load universal production base mesh,universal_production_base_mesh_loader,"Autonomously define, execute when activated, validate, and evidence universal_production_base_mesh_loader. It must support stable topology, UVs, vertex order, rig landmarks, Wave70 mask IDs, Wave71 map IDs, anchors, and soft-body zones, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","universal_production_base_mesh_loader is complete only when it has schema/config, adapter or deterministic implementation route, base mesh load report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",universal_production_base_mesh_loader_schema_or_contract_json; universal_production_base_mesh_loader_execution_or_adapter_manifest_json; universal_production_base_mesh_loader_artifact_manifest_with_hashes; universal_production_base_mesh_loader_preview_overlay_or_metric_report; universal_production_base_mesh_loader_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:universal_production_base_mesh_loader,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
W82-0006,82,production_mesh_fitting,Run rigid alignment solver,rigid_alignment_solver,"Autonomously define, execute when activated, validate, and evidence rigid_alignment_solver. It must support match height, scale, pelvis, head, shoulders, hips, hands, feet, and scene axes, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","rigid_alignment_solver is complete only when it has schema/config, adapter or deterministic implementation route, rigid alignment report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",rigid_alignment_solver_schema_or_contract_json; rigid_alignment_solver_execution_or_adapter_manifest_json; rigid_alignment_solver_artifact_manifest_with_hashes; rigid_alignment_solver_preview_overlay_or_metric_report; rigid_alignment_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:rigid_alignment_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
W82-0007,82,production_mesh_fitting,Run landmark alignment solver,landmark_alignment_solver,"Autonomously define, execute when activated, validate, and evidence landmark_alignment_solver. It must support match face, eyes, mouth, jaw, shoulders, elbows, wrists, hands, chest, waist, hips, knees, ankles, feet, fingers, and toes, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","landmark_alignment_solver is complete only when it has schema/config, adapter or deterministic implementation route, landmark alignment report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",landmark_alignment_solver_schema_or_contract_json; landmark_alignment_solver_execution_or_adapter_manifest_json; landmark_alignment_solver_artifact_manifest_with_hashes; landmark_alignment_solver_preview_overlay_or_metric_report; landmark_alignment_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:landmark_alignment_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
W82-0008,82,production_mesh_fitting,Run lattice cage shape solver,lattice_cage_shape_solver,"Autonomously define, execute when activated, validate, and evidence lattice_cage_shape_solver. It must support reshape global and regional proportions while protecting identity, hands, feet, mouth, eyes, joints, and anchors, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","lattice_cage_shape_solver is complete only when it has schema/config, adapter or deterministic implementation route, lattice fit report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",lattice_cage_shape_solver_schema_or_contract_json; lattice_cage_shape_solver_execution_or_adapter_manifest_json; lattice_cage_shape_solver_artifact_manifest_with_hashes; lattice_cage_shape_solver_preview_overlay_or_metric_report; lattice_cage_shape_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:lattice_cage_shape_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
W82-0009,82,production_mesh_fitting,Run non-rigid wrap solver,non_rigid_wrap_solver,"Autonomously define, execute when activated, validate, and evidence non_rigid_wrap_solver. It must support fit production mesh to DAZ/reference surface using Faceform/R3DS Wrap or Blender fallback while preserving topology, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","non_rigid_wrap_solver is complete only when it has schema/config, adapter or deterministic implementation route, wrap fit report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",non_rigid_wrap_solver_schema_or_contract_json; non_rigid_wrap_solver_execution_or_adapter_manifest_json; non_rigid_wrap_solver_artifact_manifest_with_hashes; non_rigid_wrap_solver_preview_overlay_or_metric_report; non_rigid_wrap_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:non_rigid_wrap_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
W82-0010,82,production_mesh_fitting,Run regional refinement solver,regional_refinement_solver,"Autonomously define, execute when activated, validate, and evidence regional_refinement_solver. It must support refine face, hands, feet, torso, abdomen, chest, hips, thighs, arms, calves, and neck separately, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","regional_refinement_solver is complete only when it has schema/config, adapter or deterministic implementation route, regional refinement report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",regional_refinement_solver_schema_or_contract_json; regional_refinement_solver_execution_or_adapter_manifest_json; regional_refinement_solver_artifact_manifest_with_hashes; regional_refinement_solver_preview_overlay_or_metric_report; regional_refinement_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W82:production_mesh_fitting:regional_refinement_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE82_DAZ_NEUTRAL_PROTOTYPE_TO_PRODUCTION_MESH_DETAIL_TRANSFER.md,Production Mesh Fitting,45,59
