requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_review_required,video_review_required,audio_review_required,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W84-0001,84,motion_source_retargeting,Register motion sources,motion_source_registry,"Autonomously define, execute when activated, validate, and evidence motion_source_registry. It must support procedural animation, mocap clips, hand-authored source clips, Cascadeur outputs, MotionBuilder takes, Unreal sequences, and Blender actions, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","motion_source_registry is complete only when it has schema/config, adapter or deterministic implementation route, motion source registry, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",motion_source_registry_schema_or_contract_json; motion_source_registry_execution_or_adapter_manifest_json; motion_source_registry_artifact_manifest_with_hashes; motion_source_registry_preview_overlay_or_metric_report; motion_source_registry_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:motion_source_retargeting:motion_source_registry,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Motion Source And Retargeting,32,44
W84-0002,84,motion_source_retargeting,Solve skeleton characterization,skeleton_characterization_solver,"Autonomously define, execute when activated, validate, and evidence skeleton_characterization_solver. It must support map source skeletons to production rig landmarks, HumanIK, Control Rig, KineFX, or Blender rig equivalents, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","skeleton_characterization_solver is complete only when it has schema/config, adapter or deterministic implementation route, characterization report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",skeleton_characterization_solver_schema_or_contract_json; skeleton_characterization_solver_execution_or_adapter_manifest_json; skeleton_characterization_solver_artifact_manifest_with_hashes; skeleton_characterization_solver_preview_overlay_or_metric_report; skeleton_characterization_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:motion_source_retargeting:skeleton_characterization_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Motion Source And Retargeting,32,44
W84-0003,84,motion_source_retargeting,Solve retarget scale and stride,retarget_scale_stride_solver,"Autonomously define, execute when activated, validate, and evidence retarget_scale_stride_solver. It must support match body height, limb length, center of mass, stride, hand reach, foot contact, and support contact, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","retarget_scale_stride_solver is complete only when it has schema/config, adapter or deterministic implementation route, retarget QA report, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",retarget_scale_stride_solver_schema_or_contract_json; retarget_scale_stride_solver_execution_or_adapter_manifest_json; retarget_scale_stride_solver_artifact_manifest_with_hashes; retarget_scale_stride_solver_preview_overlay_or_metric_report; retarget_scale_stride_solver_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:motion_source_retargeting:retarget_scale_stride_solver,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Motion Source And Retargeting,32,44
W84-0004,84,motion_source_retargeting,Define MotionBuilder batch retarget route,motionbuilder_batch_retarget_route,"Autonomously define, execute when activated, validate, and evidence motionbuilder_batch_retarget_route. It must support pyfbsdk batch characterization, retarget, take cleanup, constraints, and FBX export, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","motionbuilder_batch_retarget_route is complete only when it has schema/config, adapter or deterministic implementation route, MotionBuilder route evidence, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",motionbuilder_batch_retarget_route_schema_or_contract_json; motionbuilder_batch_retarget_route_execution_or_adapter_manifest_json; motionbuilder_batch_retarget_route_artifact_manifest_with_hashes; motionbuilder_batch_retarget_route_preview_overlay_or_metric_report; motionbuilder_batch_retarget_route_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:motion_source_retargeting:motionbuilder_batch_retarget_route,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Motion Source And Retargeting,32,44
W84-0005,84,motion_source_retargeting,Define Cascadeur physics cleanup route,cascadeur_physics_cleanup_route,"Autonomously define, execute when activated, validate, and evidence cascadeur_physics_cleanup_route. It must support AutoPosing, AutoPhysics, balance, arcs, contact timing, and secondary motion plausibility, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","cascadeur_physics_cleanup_route is complete only when it has schema/config, adapter or deterministic implementation route, Cascadeur route evidence, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",cascadeur_physics_cleanup_route_schema_or_contract_json; cascadeur_physics_cleanup_route_execution_or_adapter_manifest_json; cascadeur_physics_cleanup_route_artifact_manifest_with_hashes; cascadeur_physics_cleanup_route_preview_overlay_or_metric_report; cascadeur_physics_cleanup_route_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:motion_source_retargeting:cascadeur_physics_cleanup_route,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Motion Source And Retargeting,32,44
W84-0006,84,temporal_physics_maps,Generate per-frame pose force timeline,per_frame_pose_force_timeline,"Autonomously define, execute when activated, validate, and evidence per_frame_pose_force_timeline. It must support pose, grip, contact, muscle activation, support load, gravity, velocity, acceleration, and audio event force, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","per_frame_pose_force_timeline is complete only when it has schema/config, adapter or deterministic implementation route, pose force timeline, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",per_frame_pose_force_timeline_schema_or_contract_json; per_frame_pose_force_timeline_execution_or_adapter_manifest_json; per_frame_pose_force_timeline_artifact_manifest_with_hashes; per_frame_pose_force_timeline_preview_overlay_or_metric_report; per_frame_pose_force_timeline_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:temporal_physics_maps:per_frame_pose_force_timeline,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Temporal Physics Maps,46,58
W84-0007,84,temporal_physics_maps,Generate optical flow motion vector maps,optical_flow_motion_vector_maps,"Autonomously define, execute when activated, validate, and evidence optical_flow_motion_vector_maps. It must support frame-to-frame motion, deformation, repair spans, temporal conditioning, and ComfyUI video routes, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","optical_flow_motion_vector_maps is complete only when it has schema/config, adapter or deterministic implementation route, optical flow maps, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",optical_flow_motion_vector_maps_schema_or_contract_json; optical_flow_motion_vector_maps_execution_or_adapter_manifest_json; optical_flow_motion_vector_maps_artifact_manifest_with_hashes; optical_flow_motion_vector_maps_preview_overlay_or_metric_report; optical_flow_motion_vector_maps_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:temporal_physics_maps:optical_flow_motion_vector_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Temporal Physics Maps,46,58
W84-0008,84,temporal_physics_maps,Generate secondary motion decay maps,secondary_motion_decay_maps,"Autonomously define, execute when activated, validate, and evidence secondary_motion_decay_maps. It must support jiggle, rebound, ripple, support settling, fabric sway, hair sway, and muscle release decay, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","secondary_motion_decay_maps is complete only when it has schema/config, adapter or deterministic implementation route, secondary motion maps, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",secondary_motion_decay_maps_schema_or_contract_json; secondary_motion_decay_maps_execution_or_adapter_manifest_json; secondary_motion_decay_maps_artifact_manifest_with_hashes; secondary_motion_decay_maps_preview_overlay_or_metric_report; secondary_motion_decay_maps_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:temporal_physics_maps:secondary_motion_decay_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Temporal Physics Maps,46,58
W84-0009,84,temporal_physics_maps,Generate contact persistence maps,contact_persistence_maps,"Autonomously define, execute when activated, validate, and evidence contact_persistence_maps. It must support hand, foot, body, clothing, support surface, and multi-character contacts across frames, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","contact_persistence_maps is complete only when it has schema/config, adapter or deterministic implementation route, contact persistence maps, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",contact_persistence_maps_schema_or_contract_json; contact_persistence_maps_execution_or_adapter_manifest_json; contact_persistence_maps_artifact_manifest_with_hashes; contact_persistence_maps_preview_overlay_or_metric_report; contact_persistence_maps_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification; full_duration_audio_review_pass; audio_event_visual_contact_alignment_pass; av_sync_drift_check_pass; clipping_noise_mix_balance_pass,true,true,true,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:temporal_physics_maps:contact_persistence_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Temporal Physics Maps,46,58
W84-0010,84,temporal_physics_maps,Isolate temporal repair spans,temporal_repair_span_isolation,"Autonomously define, execute when activated, validate, and evidence temporal_repair_span_isolation. It must support only bad frames/regions are repaired while identity, clothing, body shape, and support contact remain stable, operate after DAZ neutral prototype registration without human work, write exact blockers when prerequisites are unavailable, and avoid docs-only completion.","temporal_repair_span_isolation is complete only when it has schema/config, adapter or deterministic implementation route, repair span manifest, manifest hashes, preview or overlay evidence, strict whole-artifact review, and source-cited QA.",temporal_repair_span_isolation_schema_or_contract_json; temporal_repair_span_isolation_execution_or_adapter_manifest_json; temporal_repair_span_isolation_artifact_manifest_with_hashes; temporal_repair_span_isolation_preview_overlay_or_metric_report; temporal_repair_span_isolation_strict_qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; input_contract_validated; output_manifest_hashes_validated; visual_overlay_or_metric_threshold_pass; rerun_policy_declared; blocker_policy_declared; deterministic_validator_result_present; tool_adapter_manifest_present_when_tool_used; numeric_metric_thresholds_declared; llm_or_vlm_review_cannot_override_failed_metrics; no_human_work_after_daz_prototype_registration; daz_neutral_prototype_only_boundary_preserved; cost_control_and_runtime_window_gate_pass; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after the current ComfyUI foundation, Wave70 Mask Factory, Waves71-76 base physics/deformation layers, runtime lanes, cost controls, and strict QA gates are stable enough that this expansion will not derail nearer project milestones. Activation requires an explicit source-cited project decision.",W84:temporal_physics_maps:temporal_repair_span_isolation,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE84_ANIMATION_MOCAP_TEMPORAL_PHYSICS_PIPELINE.md,Temporal Physics Maps,46,58
