requirement_id,wave,category,title,implementation_target,autonomous_behavior,acceptance_criteria,required_evidence,qa_gates,visual_runtime_ready,video_runtime_ready,audio_runtime_ready,comfyui_integration_required,simulation_backend_required,deferred_status,activation_gate,source_key,source_file_relative,citation_section,citation_line_start,citation_line_end
W71-0001,71,physics_map_taxonomy,Define and prove vertex_weight_maps,vertex_weight_maps,"Autonomously create or import vertex_weight_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document pinning, stiffness, softness, jiggle amount, deformation zones.","vertex_weight_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for pinning, stiffness, softness, jiggle amount, deformation zones.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:vertex_weight_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0002,71,physics_map_taxonomy,Define and prove skin_weight_maps,skin_weight_maps,"Autonomously create or import skin_weight_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document normal rig deformation and joint motion.","skin_weight_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for normal rig deformation and joint motion.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:skin_weight_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0003,71,physics_map_taxonomy,Define and prove soft_body_goal_maps,soft_body_goal_maps,"Autonomously create or import soft_body_goal_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document soft flesh following rig while still moving.","soft_body_goal_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for soft flesh following rig while still moving.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:soft_body_goal_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0004,71,physics_map_taxonomy,Define and prove pin_anchor_maps,pin_anchor_maps,"Autonomously create or import pin_anchor_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document stable ribs, pelvis, skull, hands, joints.","pin_anchor_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for stable ribs, pelvis, skull, hands, joints.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:pin_anchor_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0005,71,physics_map_taxonomy,Define and prove spring_stiffness_maps,spring_stiffness_maps,"Autonomously create or import spring_stiffness_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document rebound, rubberiness, soft impact.","spring_stiffness_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for rebound, rubberiness, soft impact.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:spring_stiffness_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0006,71,physics_map_taxonomy,Define and prove damping_maps,damping_maps,"Autonomously create or import damping_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document heavy vs bouncy movement.","damping_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for heavy vs bouncy movement.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:damping_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0007,71,physics_map_taxonomy,Define and prove bend_stretch_shear_maps,bend_stretch_shear_maps,"Autonomously create or import bend_stretch_shear_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document clothing, skin folds, soft tissue surfaces.","bend_stretch_shear_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for clothing, skin folds, soft tissue surfaces.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:bend_stretch_shear_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0008,71,physics_map_taxonomy,Define and prove pressure_inflation_maps,pressure_inflation_maps,"Autonomously create or import pressure_inflation_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document squishy volume, soft bulge, cloth inflation.","pressure_inflation_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for squishy volume, soft bulge, cloth inflation.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:pressure_inflation_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0009,71,physics_map_taxonomy,Define and prove collision_backstop_maps,collision_backstop_maps,"Autonomously create or import collision_backstop_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document body contact, cloth-body collision, compression limits.","collision_backstop_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for body contact, cloth-body collision, compression limits.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:collision_backstop_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
W71-0010,71,physics_map_taxonomy,Define and prove morph_target_blendshape_maps,morph_target_blendshape_maps,"Autonomously create or import morph_target_blendshape_maps, normalize it into the standard physics-map schema, declare ComfyUI equivalents, and block completion until evidence proves it can drive or document body morphing, expressions, corrective poses.","morph_target_blendshape_maps has a schema record, generation/import route, preview overlay, value range validation, body-region mapping, ComfyUI translation, and QA evidence for body morphing, expressions, corrective poses.",physics_map_schema_record; source_or_generation_manifest; preview_overlay_or_render_pass; value_range_validation_json; body_region_mapping_json; comfyui_translation_record; qa_report_json,schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video; control_map_dimensions_match_generation; map_value_range_normalized; comfyui_route_manifest_pass; generated_output_proof_present; target_runtime_proof_before_final_certification,true,true,false,true,true,Deferred_Required_Not_Complete,"Deferred. Activate only after current ComfyUI foundation, runtime lanes, cost controls, and Wave70 Mask Factory coverage are stable enough that physics-map work will not derail nearer project milestones.",W71:physics_map_taxonomy:morph_target_blendshape_maps,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE71_SOFT_BODY_PHYSICS_DEFORMATION_MAP_SYSTEM.md,Physics Map Taxonomy,23,61
