Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-W74-0001,74,deferred_physics_deformation_system_requirement,Define adapter requirement simulation_request_schema,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",simulation_request_schema,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"simulation_request_schema has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines simulation_request_schema as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P1,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,"machine-readable request for region, owner, motion, gravity, contact objects, softness, damping, frames, and ComfyUI map outputs",W74:autonomous_simulation_backend_adapters:simulation_request_schema,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:simulation_request_schema#L23-L51
ITEM-W74-0002,74,deferred_physics_deformation_system_requirement,Define adapter requirement backend_capability_matrix,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",backend_capability_matrix,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"backend_capability_matrix has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines backend_capability_matrix as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,"capability table for Blender, Houdini, Unreal, DAZ, Marvelous, and fallback ComfyUI-only approximation",W74:autonomous_simulation_backend_adapters:backend_capability_matrix,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:backend_capability_matrix#L23-L51
ITEM-W74-0003,74,deferred_physics_deformation_system_requirement,Define adapter requirement backend_availability_license_check,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",backend_availability_license_check,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"backend_availability_license_check has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines backend_availability_license_check as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,"detect installed backend, license availability, command path, version, and allowed execution mode without blocking current project work",W74:autonomous_simulation_backend_adapters:backend_availability_license_check,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:backend_availability_license_check#L23-L51
ITEM-W74-0004,74,deferred_physics_deformation_system_requirement,Define adapter requirement backend_selector_policy,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",backend_selector_policy,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"backend_selector_policy has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines backend_selector_policy as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P1,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,choose cheapest valid backend; Blender first; optional Houdini/Unreal/Marvelous/DAZ only when available and required,W74:autonomous_simulation_backend_adapters:backend_selector_policy,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:backend_selector_policy#L23-L51
ITEM-W74-0005,74,deferred_physics_deformation_system_requirement,Define adapter requirement blender_background_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",blender_background_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"blender_background_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines blender_background_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P1,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,"Blender command-line/background adapter for import, fitting, map baking, render-pass export, and validation",W74:autonomous_simulation_backend_adapters:blender_background_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:blender_background_adapter#L23-L51
ITEM-W74-0006,74,deferred_physics_deformation_system_requirement,Define adapter requirement houdini_hython_hbatch_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",houdini_hython_hbatch_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"houdini_hython_hbatch_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines houdini_hython_hbatch_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,optional Houdini adapter for procedural/SDF/Vellum-style simulations and advanced collision fields,W74:autonomous_simulation_backend_adapters:houdini_hython_hbatch_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:houdini_hython_hbatch_adapter#L23-L51
ITEM-W74-0007,74,deferred_physics_deformation_system_requirement,Define adapter requirement unreal_python_commandlet_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",unreal_python_commandlet_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"unreal_python_commandlet_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines unreal_python_commandlet_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,"optional Unreal adapter for physics assets, animation, real-time simulation, and rendered pass export",W74:autonomous_simulation_backend_adapters:unreal_python_commandlet_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:unreal_python_commandlet_adapter#L23-L51
ITEM-W74-0008,74,deferred_physics_deformation_system_requirement,Define adapter requirement daz_prototype_export_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",daz_prototype_export_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"daz_prototype_export_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines daz_prototype_export_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,optional DAZ script adapter for prototype export; not production physics authority,W74:autonomous_simulation_backend_adapters:daz_prototype_export_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:daz_prototype_export_adapter#L23-L51
ITEM-W74-0009,74,deferred_physics_deformation_system_requirement,Define adapter requirement marvelous_clo_cloth_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",marvelous_clo_cloth_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"marvelous_clo_cloth_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines marvelous_clo_cloth_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,optional Marvelous/CLO adapter for garment simulation/export where licensed,W74:autonomous_simulation_backend_adapters:marvelous_clo_cloth_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:marvelous_clo_cloth_adapter#L23-L51
ITEM-W74-0010,74,deferred_physics_deformation_system_requirement,Define adapter requirement comfyui_only_approximation_adapter,Autonomous Simulation Backend Adapters,autonomous_simulation_backend_adapters,physics_deformation_system,TRUE,FALSE,FALSE,"Do not implement before activation gate. When activated, implement or block this requirement with source-cited autonomous evidence and strict QA.",comfyui_only_approximation_adapter,plan_contract_adapter_or_artifact_validation_strict_qa_evidence,"comfyui_only_approximation_adapter has schema, command contract, availability behavior, bounded execution, output manifest, validation evidence, and fallback/blocker handling.",schema_validation_pass; source_citation_present; artifact_manifest_with_hashes_present; preview_or_overlay_generated; strict_visual_review_pass; whole_artifact_review_pass_when_media_exists; no_human_work_dependency_after_registered_inputs; autonomous_failure_blocker_written_if_blocked; body_region_mapping_pass; protected_anchor_preservation_pass; gravity_direction_plausibility_pass; collision_contact_plausibility_pass; no_mesh_or_visual_penetration_pass; no_floating_contact_pass; body_shape_continuity_pass; temporal_stability_pass_for_video,TRUE,strict_whole_artifact_plus_map_overlay_plus_target_region_review,TRUE,adapter_contract_json; command_template_or_script; availability_check_report; sample_request; sample_output_manifest; validation_report; blocker_or_fallback_evidence,TRUE,FALSE,"If unavailable or blocked, record exact blocker and continue nearer active project work; do not start housekeeping loops.",C:\Comfy_UI_Main\Plan,WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,C:\Comfy_UI_Main\Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,Autonomous Simulation Backend Adapters,23,51,Wave74 defines comfyui_only_approximation_adapter as a deferred autonomous physics/deformation requirement.,Wave74 Autonomous Simulation Backend Adapters,Plan Source,12993,P2,High,Deferred_Required_Not_Complete,generate_waves71_76_physics_deformation_system.py,fallback adapter using pose/depth/normal/SAM/optical-flow maps when true 3D simulation is unavailable,W74:autonomous_simulation_backend_adapters:comfyui_only_approximation_adapter,Plan\07_IMPLEMENTATION\physics_deformation_system\WAVE74_AUTONOMOUS_SIMULATION_BACKEND_ADAPTERS.md,deferred_direct_physics_deformation_requirement,source_cited_deferred_required_not_complete,W74:autonomous_simulation_backend_adapters:comfyui_only_approximation_adapter#L23-L51
