column_index,column_name
0,Task_ID
1,Row_Type
2,Phase_Order
3,Phase
4,Workstream
5,Wave
6,Wave_Title
7,Priority
8,Risk_Level
9,Owner_Role
10,Environment
11,Status
12,Task_Name
13,Detailed_Action
14,Completion_Criteria
15,Acceptance_Evidence
16,Dependency_Prerequisite
17,Validation_Method
18,Output_Artifact
19,Source_Path
20,Related_Source_Paths
21,Package_File_Type
22,Package_Top_Level_Directory
23,Package_Subcomponent
24,Estimated_Effort
25,Notes
26,Execution_Order
27,Parent_Task_ID
28,Task_Depth
29,Task_Group_ID
30,Implementation_Phase
31,Implementation_Stream
32,Milestone
33,Gate
34,Blocker_Level
35,Ready_To_Start_When
36,Done_When
37,Evidence_Type
38,Evidence_Location_Template
39,Validation_Command
40,Expected_Validation_Result
41,Failure_Mode_To_Watch
42,Remediation_Action
43,Rollback_Plan
44,Requires_GPU
45,Requires_ComfyUI
46,Requires_Model_Download
47,Requires_Custom_Node
48,Requires_External_API
49,Requires_Secrets
50,Requires_License_Review
51,Requires_Human_Review
52,Requires_Frontend_or_API
53,Requires_Audio_Runtime
54,Requires_Video_Runtime
55,Requires_Storage_or_Archive
56,Requires_Security_Review
57,Estimated_Hours_Min
58,Estimated_Hours_Max
59,Production_Readiness_Gate
60,Definition_of_Done_Expanded
61,Acceptance_Signoff_Role
62,Suggested_Project_Board_Epic
63,Suggested_Sprint
64,Dependency_Group
65,Traceability_Source
66,Source_Row_Key
67,CSV_Pass_Notes
68,Working_Status
69,Working_Evidence
70,Working_Updated_At
71,Status_Detail
72,Evidence_Path
