Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-000005,56,source_plan_section,ARCHITECTURE RUNTIME BINDING ARTIFACT PROMOTION INTERVENTION 20260701 233649,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: ARCHITECTURE RUNTIME BINDING ARTIFACT PROMOTION INTERVENTION 20260701 233649",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,TRUE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\ARCHITECTURE_RUNTIME_BINDING_ARTIFACT_PROMOTION_INTERVENTION_20260701_233649.md,C:\Comfy_UI_Main\Plan\docs\ARCHITECTURE_RUNTIME_BINDING_ARTIFACT_PROMOTION_INTERVENTION_20260701_233649.md,Architecture Runtime Binding Artifact Promotion Intervention,1,21,"# Architecture Runtime Binding Artifact Promotion Intervention - tracker_input: `C:\Comfy_UI\Implementation\trackers\wave42_working_tracker_20260701_232559.csv` - tracker_output: `C:\Comfy_UI\Implementation\trackers\wave42_working_tracker_20260701_233649.csv` - promoted_count: 5 - preserved_candidate_count: 6 - before_counts: `{'total': 12887, 'bla",docs.zip,md,4437,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000099,56,source_plan_section,AV SYNC REGRESSION PROMOTION INTERVENTION 20260701 150321 — Boundary,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: AV SYNC REGRESSION PROMOTION INTERVENTION 20260701 150321 — Boundary",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\AV_SYNC_REGRESSION_PROMOTION_INTERVENTION_20260701_150321.md,C:\Comfy_UI_Main\Plan\docs\AV_SYNC_REGRESSION_PROMOTION_INTERVENTION_20260701_150321.md,Boundary,23,25,"## Boundary This does not close final release acceptance, production audio source/license readiness, broad G07 audio gate closure, or final release package creation.",docs.zip,md,1494,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000131,56,source_plan_section,BLOCKER RESOLUTION LEDGER 20260701 080658 — Key Inputs,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: BLOCKER RESOLUTION LEDGER 20260701 080658 — Key Inputs",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\BLOCKER_RESOLUTION_LEDGER_20260701_080658.md,C:\Comfy_UI_Main\Plan\docs\BLOCKER_RESOLUTION_LEDGER_20260701_080658.md,Key Inputs,20,40,## Key Inputs - model_asset_readiness_manifest: `C:\Comfy_UI\Implementation\model_asset_readiness_packet\20260701_003836\model_asset_readiness_manifest_20260701_003836.json` - external_api_readiness_manifest: `C:\Comfy_UI\Implementation\external_api_readiness_packet\20260701_002305\external_api_readiness_manifest_20260701_002305.json` - asset_runti,docs.zip,md,3740,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000137,56,source_plan_section,BLOCKER RESOLUTION LEDGER 20260701 080737 — Key Inputs,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: BLOCKER RESOLUTION LEDGER 20260701 080737 — Key Inputs",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\BLOCKER_RESOLUTION_LEDGER_20260701_080737.md,C:\Comfy_UI_Main\Plan\docs\BLOCKER_RESOLUTION_LEDGER_20260701_080737.md,Key Inputs,20,40,## Key Inputs - model_asset_readiness_manifest: `C:\Comfy_UI\Implementation\model_asset_readiness_packet\20260701_003836\model_asset_readiness_manifest_20260701_003836.json` - external_api_readiness_manifest: `C:\Comfy_UI\Implementation\external_api_readiness_packet\20260701_002305\external_api_readiness_manifest_20260701_002305.json` - asset_runti,docs.zip,md,3738,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000143,56,source_plan_section,BLOCKER RESOLUTION LEDGER 20260701 090451 — Key Inputs,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: BLOCKER RESOLUTION LEDGER 20260701 090451 — Key Inputs",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\BLOCKER_RESOLUTION_LEDGER_20260701_090451.md,C:\Comfy_UI_Main\Plan\docs\BLOCKER_RESOLUTION_LEDGER_20260701_090451.md,Key Inputs,20,40,## Key Inputs - model_asset_readiness_manifest: `C:\Comfy_UI\Implementation\model_asset_readiness_packet\20260701_003836\model_asset_readiness_manifest_20260701_003836.json` - external_api_readiness_manifest: `C:\Comfy_UI\Implementation\external_api_readiness_packet\20260701_002305\external_api_readiness_manifest_20260701_002305.json` - asset_runti,docs.zip,md,3739,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000149,56,source_plan_section,BLOCKER RESOLUTION LEDGER 20260701 092509 — Key Inputs,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: BLOCKER RESOLUTION LEDGER 20260701 092509 — Key Inputs",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\BLOCKER_RESOLUTION_LEDGER_20260701_092509.md,C:\Comfy_UI_Main\Plan\docs\BLOCKER_RESOLUTION_LEDGER_20260701_092509.md,Key Inputs,20,40,## Key Inputs - model_asset_readiness_manifest: `C:\Comfy_UI\Implementation\model_asset_readiness_packet\20260701_003836\model_asset_readiness_manifest_20260701_003836.json` - external_api_readiness_manifest: `C:\Comfy_UI\Implementation\external_api_readiness_packet\20260701_002305\external_api_readiness_manifest_20260701_002305.json` - asset_runti,docs.zip,md,3739,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000155,56,source_plan_section,BLOCKER RESOLUTION LEDGER 20260701 102215 — Key Inputs,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: BLOCKER RESOLUTION LEDGER 20260701 102215 — Key Inputs",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\BLOCKER_RESOLUTION_LEDGER_20260701_102215.md,C:\Comfy_UI_Main\Plan\docs\BLOCKER_RESOLUTION_LEDGER_20260701_102215.md,Key Inputs,20,40,## Key Inputs - model_asset_readiness_manifest: `C:\Comfy_UI\Implementation\model_asset_readiness_packet\20260701_003836\model_asset_readiness_manifest_20260701_003836.json` - external_api_readiness_manifest: `C:\Comfy_UI\Implementation\external_api_readiness_packet\20260701_002305\external_api_readiness_manifest_20260701_002305.json` - asset_runti,docs.zip,md,3740,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-000845,56,source_plan_section,CIVITAI LORA PURPOSE REGISTRY PROMOTION 20260702 154843 — Civitai LoRA Purpose Registry Promotion 20260702_154843,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: CIVITAI LORA PURPOSE REGISTRY PROMOTION 20260702 154843 — Civitai LoRA Purpose Registry Promotion 20260702_154843",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,TRUE,AI visual review + screenshot/frame/reference comparison where applicable,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\CIVITAI_LORA_PURPOSE_REGISTRY_PROMOTION_20260702_154843.md,C:\Comfy_UI_Main\Plan\docs\CIVITAI_LORA_PURPOSE_REGISTRY_PROMOTION_20260702_154843.md,Civitai LoRA Purpose Registry Promotion 20260702_154843,1,11,# Civitai LoRA Purpose Registry Promotion 20260702_154843 - Source tracker: `C:\Comfy_UI\Implementation\trackers\wave42_working_tracker_20260702_154249.csv` - Output tracker: `C:\Comfy_UI\Implementation\trackers\wave42_working_tracker_20260702_154843.csv` - Promoted: `SETUP-0043` from `Blocked - Model Asset` to `Verified Complete` - Registry: `C:\C,docs.zip,md,1168,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-001030,56,source_plan_section,CURRENT BUILD STATUS 20260628 063600 — EC2 Sync Bundle,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: CURRENT BUILD STATUS 20260628 063600 — EC2 Sync Bundle",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\CURRENT_BUILD_STATUS_20260628_063600.md,C:\Comfy_UI_Main\Plan\docs\CURRENT_BUILD_STATUS_20260628_063600.md,EC2 Sync Bundle,34,50,## EC2 Sync Bundle - Bundle: `C:\Comfy_UI\Implementation\sync_bundles\wave42_ec2_sync_bundle_20260628_064418.zip` - Manifest: `C:\Comfy_UI\Implementation\sync_bundles\wave42_ec2_sync_bundle_manifest_20260628_064418.json` - File count: 392 - SHA256: `5d503d806f1fa5bdb431b7d02d41806cb7df1d89f846339cc0463771e65ea677` ## Runtime Checks - `http://127.0.,docs.zip,md,3040,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
ITEM-001043,56,source_plan_section,CURRENT BUILD STATUS 20260628 071800 — EC2 Sync Bundle,Local/EC2 Runtime Sync,ec2_runtime_sync,Local/EC2 Runtime Sync,TRUE,FALSE,FALSE,"Autonomously implement, validate, and evidence the required local/ec2 runtime sync item: CURRENT BUILD STATUS 20260628 071800 — EC2 Sync Bundle",local_ec2_sync_runtime_proof_system,code_config_workflow_manifest_qa_evidence,"Sync manifest, required payload list, pullback artifacts, logs, stop conditions, and QA evidence are recorded.",sync_manifest_validation|upload_payload_check|runtime_log_pullback|cost_stop_condition|qa_evidence_pullback,FALSE,Not required unless output becomes visual,TRUE,"Upload manifest, EC2 run log, pullback manifest, QA evidence, cost/runtime summary, stop confirmation",TRUE,TRUE_AFTER_PREVIEW_PREFLIGHT_ONLY,"Do not ask for human work. Create blocker record, preserve logs/evidence, retry safe autonomous path, or mark blocked with exact reason.",C:\Comfy_UI_Main\Plan,docs\CURRENT_BUILD_STATUS_20260628_071800.md,C:\Comfy_UI_Main\Plan\docs\CURRENT_BUILD_STATUS_20260628_071800.md,EC2 Sync Bundle,30,48,## EC2 Sync Bundle - Bundle: `C:\Comfy_UI\Implementation\sync_bundles\wave42_ec2_sync_bundle_20260628_071930.zip` - Manifest: `C:\Comfy_UI\Implementation\sync_bundles\wave42_ec2_sync_bundle_manifest_20260628_071930.json` - Handoff: `C:\Comfy_UI\Implementation\docs\EC2_SYNC_HANDOFF_20260628_071930.md` - File count: 431 - SHA256: `d061aefc8de2e23f56f,docs.zip,md,2600,P0,HIGH,Blocked Until Autonomous Runtime Evidence Exists,blueprint_plan_docs,Autonomous Codex Desktop task/item; no human input or manual work dependency allowed.,,,,,
