Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-W64-113,64,Autonomous implementation and certification control,Hyperreal speech authority and no-false-completion control,control,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Define execution authority, boundaries, dependencies, classifications, and evidence rules for Rows113-148.",speech_program_authority,implementation|tests|runtime_evidence|qa|status_decision,Authority registry and validator reject completion without runtime and certification evidence.,authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW113.json,FALSE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Hyperreal speech authority and no-false-completion control,C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_Authority_Control_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows113-117 authority evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS113_117_AUTHORITY_20260715.json,W64:autonomous_hyperreal_speech:113,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:113
ITEM-W64-114,64,Autonomous implementation and certification control,Immutable character voice-reference card system,authority,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Implement per-character versioned voice cards with hashes, rights, transcript, traits, embeddings, continuity lines, approved engines, and revocation.",voice_reference_cards,implementation|tests|runtime_evidence|qa|status_decision,"Cards validate, bind exact references, separate authority from synthesis, and fail closed on missing rights or hashes.",authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW114.json,FALSE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Immutable character voice-reference card system,C:\Comfy_UI_Main\Plan,md,13931,P0,CRITICAL,Implemented_Immutable_Card_System_Pass_Character_Card_Pending,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows113-117 authority evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS113_117_AUTHORITY_20260715.json,W64:autonomous_hyperreal_speech:114,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:114
ITEM-W64-115,64,Autonomous implementation and certification control,"Voice-reference intake, segmentation, and quality QA",authority,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Decode, segment, transcribe, score, and curate reference speech without modifying source bytes.",voice_reference_intake_qa,implementation|tests|runtime_evidence|qa|status_decision,"Reference segments have sample bounds, transcript, quality metrics, contamination flags, and deterministic selection evidence.",authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW115.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,"Voice-reference intake, segmentation, and quality QA",C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_Reference_Intake_QA_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows113-117 authority evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS113_117_AUTHORITY_20260715.json,W64:autonomous_hyperreal_speech:115,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:115
ITEM-W64-116,64,Autonomous implementation and certification control,Autonomous character voice casting and identity policy,authority,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,Rank licensed references or designed synthetic voices against character requirements across male and female targets.,autonomous_character_voice_casting,implementation|tests|runtime_evidence|qa|status_decision,"Casting record is explainable, hash-bound, rights-valid, continuity-tested, and production authority remains explicit.",authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW116.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Autonomous character voice casting and identity policy,C:\Comfy_UI_Main\Plan,md,13931,P0,CRITICAL,Implemented_Casting_Control_Blocked_Runtime_Continuity_And_Authority,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows113-117 authority evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS113_117_AUTHORITY_20260715.json,W64:autonomous_hyperreal_speech:116,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:116
ITEM-W64-117,64,Autonomous implementation and certification control,"Provider-resolved speech/audio acquisition, adapter, and license registry",models,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Execute the provider-resolved catalog for exact Qwen3-TTS, Fun-CosyVoice3, Chatterbox V3/Turbo, Fish Audio S2, synchronization, Foley, and evaluator assets using reuse-first isolated adapters.",speech_engine_acquisition_registry,implementation|tests|runtime_evidence|qa|status_decision,"Every selected asset binds an official immutable revision or exact Civitai version/file, hashes, license/access, environment, loader proof, row dependency, and fail-closed availability.",authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW117.json,FALSE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,"Provider-resolved speech/audio acquisition, adapter, and license registry",C:\Comfy_UI_Main\Plan,md,13931,P0,CRITICAL,Implemented_Selected_Qwen3_TTS_Acquisition_And_Load_Pass_Generation_QA_Pending,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows113-117 authority evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS113_117_AUTHORITY_20260715.json,W64:autonomous_hyperreal_speech:117,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:117
ITEM-W64-118,64,Autonomous implementation and certification control,Multi-engine speech benchmark tournament,models,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Benchmark eligible engines by character, language, duration, style, quality, identity, runtime, and failure rate.",speech_engine_benchmark_tournament,implementation|tests|runtime_evidence|qa|status_decision,Tournament uses calibrated hard gates and explainable ranking; no universal engine is assumed.,authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW118.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Multi-engine speech benchmark tournament,C:\Comfy_UI_Main\Plan,md,13931,P0,CRITICAL,Implemented_Tournament_Control_Blocked_Comparative_Runtime_Missing,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows118-122 planning-control evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS118_122_CONTROLS_20260715.json,W64:autonomous_hyperreal_speech:118,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:118
ITEM-W64-119,64,Autonomous implementation and certification control,Dialogue text normalization and token authority,planning,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Normalize numbers, dates, abbreviations, symbols, punctuation, casing, and language while preserving original text lineage.",dialogue_text_normalization,implementation|tests|runtime_evidence|qa|status_decision,"Normalized text is deterministic, reversible, tested, and hash-bound to the line contract.",authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW119.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Dialogue text normalization and token authority,C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_Deterministic_Text_Normalization_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows118-122 planning-control evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS118_122_CONTROLS_20260715.json,W64:autonomous_hyperreal_speech:119,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:119
ITEM-W64-120,64,Autonomous implementation and certification control,"Pronunciation, G2P, phoneme, and lexicon authority",planning,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Compile language-aware pronunciation dictionaries, proper-name overrides, phonemes, stress, and fallback confidence.",pronunciation_g2p_lexicon,implementation|tests|runtime_evidence|qa|status_decision,Pronunciation fixtures pass and unknown or ambiguous pronunciations block or route to explicit review.,authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW120.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,"Pronunciation, G2P, phoneme, and lexicon authority",C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_Pronunciation_Lexicon_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows118-122 planning-control evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS118_122_CONTROLS_20260715.json,W64:autonomous_hyperreal_speech:120,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:120
ITEM-W64-121,64,Autonomous implementation and certification control,"Dialogue performance, pause, breath, and emphasis planner",planning,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Compile emotion, delivery style, intensity, pace, articulation, emphasis, pauses, breaths, and vocal effort as separate controls.",dialogue_performance_planner,implementation|tests|runtime_evidence|qa|status_decision,Line plan validates without taxonomy conflation and records unsupported engine controls explicitly.,authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW121.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,"Dialogue performance, pause, breath, and emphasis planner",C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_Separated_Performance_Planner_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows118-122 planning-control evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS118_122_CONTROLS_20260715.json,W64:autonomous_hyperreal_speech:121,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:121
ITEM-W64-122,64,Autonomous implementation and certification control,Duration-aware dialogue and shot timing planner,planning,hyperreal_speech_voice,Codex Desktop Autonomous Agent,TRUE,FALSE,FALSE,"Estimate duration from phonemes and calibrated character pace, then choose native timing, bounded correction, alternate engine, or shot-contract blocker.",duration_aware_speech_planner,implementation|tests|runtime_evidence|qa|status_decision,Planner never trims spoken content and proves timing decisions against calibrated tolerances.,authority|runtime|content|identity|performance|technical|timing|scene|review|promotion,FALSE,not_applicable_or_audio_review,TRUE,Plan/Instructions/QA/Evidence/Audio_Asset_Intake/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_ROW122.json,TRUE,TRUE,"Fail closed with one exact blocker; do not infer implementation from planning, model presence, or adjacent rows.",C:\Comfy_UI_Main\Plan,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,Reserved execution rows,1,260,Duration-aware dialogue and shot timing planner,C:\Comfy_UI_Main\Plan,md,13931,P0,HIGH,Implemented_No_Truncation_Duration_Planner_Pass,WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN,Additive speech expansion; Rows025-033 and Rows067-112 remain separate authority. content_based_suppression=false. Rows118-122 planning-control evidence: Plan/Instructions/QA/Evidence/Audio_Asset_Intake/W64_HYPERREAL_SPEECH_ROWS118_122_CONTROLS_20260715.json,W64:autonomous_hyperreal_speech:122,Plan/00_PROJECT_CONTROL/WAVE64_AUTONOMOUS_HYPERREAL_SPEECH_AND_VOICE_MASTER_PLAN.md,planned_autonomous_implementation_control,covered_by_wave64_hyperreal_speech_expansion_not_yet_implemented,W64:autonomous_hyperreal_speech:122
