Item_ID,Item_Wave,Item_Type,Item_Title,Item_Category,Item_Domain,Owner_Domain,Autonomous_Required,Human_Input_Allowed,Human_Work_Allowed,Codex_Action,Implementation_Target,Deliverable_Type,Acceptance_Criteria,QA_Gates_Required,Visual_Review_Required,Visual_Review_Method,Test_Required,Evidence_Required,Runtime_Proof_Required,EC2_Allowed,Blocker_Policy,Source_Plan_Root,Citation_File,Citation_Full_Path,Citation_Section,Citation_Line_Start,Citation_Line_End,Citation_Excerpt,Source_Package,Source_Type,Source_File_Size,Priority,Risk_Level,Status,Created_From,Notes,Source_Key,Source_File_Relative,Coverage_Level,Coverage_Audit_Status,Ultra_Source_Coverage_Record
ITEM-W64-001,64,end_to_end_strict_ai_requirement,All Plan source files indexed and mapped into Items and Tracker coverage,Plan Source Coverage,plan_source_file_coverage,Plan Source Coverage,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for plan_source_file_coverage.",plan_source_file_coverage,code_config_workflow_manifest_qa_evidence_review_certification,"Every file under Plan is indexed, source-cited, and either mapped to a strict row or covered by generated source coverage audit records.",plan_file_index_present|items_tracker_row_present|citation_fields_present|coverage_report_pass,FALSE,not_applicable_structural_coverage,FALSE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,FALSE,FALSE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\PROJECT_MANIFEST.json,C:\Comfy_UI_Main\Plan\PROJECT_MANIFEST.json,PROJECT_MANIFEST,1,13,"{ ""project"": ""Comfy_UI_Main"", ""pack_name"": ""Ultra_Hyperrealism_System_Blueprint_Wave25_Cumulative"", ""wave_current"": 25, ""waves_included"": [ 0, 1, 2, 3, 4, 5, 6, 7,",C:\Comfy_UI_Main\Plan,json,17210,P0,CRITICAL,Evidence_Passed_Scoped_NonMask,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: status is generated from exact direct evidence when present; skip repeat local/AWS work unless source, evidence, or downstream gate changes.",W64:plan_source_file_coverage:Plan\PROJECT_MANIFEST.json#L1-L13,Plan\PROJECT_MANIFEST.json,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:plan_source_file_coverage:Plan\PROJECT_MANIFEST.json#L1-L13
ITEM-W64-002,64,end_to_end_strict_ai_requirement,Autonomous project manager operating controls,Autonomous Control,project_control_autonomy,Autonomous Control,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for project_control_autonomy.",project_control_autonomy,code_config_workflow_manifest_qa_evidence_review_certification,"Autonomous sessions obey objective, no-loop, blocker, checkpoint, evidence, and continuation controls without relying on human cleanup.",operating_manual_read|goal_alignment_check|blocker_policy_check|progress_control_check,FALSE,not_applicable_control_evidence,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,FALSE,FALSE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,C:\Comfy_UI_Main\Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,AI Project Manager Operating Manual,1,13,"# AI Project Manager Operating Manual ## Mission Build the ultimate modular hyper-realism generation system for images, GIFs/video, and audio using ComfyUI as the execution layer and an external controller as the autonomous planning/QA layer. ## Non-negotiable architecture rules 1. Use modular workflows or subgraphs. Do not continue expanding one giant untestable graph. 2. Keep catalog/library nodes out of active production paths. 3. Use an external pass planner/orchestrator for autonomy. 4. Use ComfyUI App Mode only as the simplified user interface, not as the reasoning brain. 5. Use decoded images as engine boundaries unless latent compatibility is proven.",C:\Comfy_UI_Main\Plan,md,2506,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:project_control_autonomy:Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md#L1-L13,Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:project_control_autonomy:Plan\00_PROJECT_CONTROL\AI_PROJECT_MANAGER_OPERATING_MANUAL.md#L1-L13
ITEM-W64-003,64,end_to_end_strict_ai_requirement,Current system review and inherited Main Flow boundary,Source Review,current_system_review,Source Review,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for current_system_review.",current_system_review,code_config_workflow_manifest_qa_evidence_review_certification,Existing C:\Comfy_UI findings are treated as source/staging context until extracted into active lanes or modules.,source_review_complete|runtime_boundary_recorded|stale_assumption_blocked,FALSE,not_applicable_source_review,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,FALSE,FALSE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\01_CURRENT_SYSTEM_REVIEW\MAIN_FLOW_REVIEW_FINDINGS.md,C:\Comfy_UI_Main\Plan\01_CURRENT_SYSTEM_REVIEW\MAIN_FLOW_REVIEW_FINDINGS.md,Current Main Flow Review Findings,1,13,# Current Main Flow Review Findings ## Source reviewed - File: `Wave42_Runtime_Bound__UI__WAVE42_MAIN_FLOW_20260702.json` - SHA256: `13297484923fa1ca7525fa913792b19999f395e05118e50eb269e48e4d1bc8bb` - Nodes: 356 - Links: 91 - SaveImage outputs: 8 - Active upstream nodes feeding SaveImage outputs: 61 - Disabled/library LoRA loader nodes: 274 ## Active SaveImage outputs,C:\Comfy_UI_Main\Plan,md,3413,P0,HIGH,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:current_system_review:Plan\01_CURRENT_SYSTEM_REVIEW\MAIN_FLOW_REVIEW_FINDINGS.md#L1-L13,Plan\01_CURRENT_SYSTEM_REVIEW\MAIN_FLOW_REVIEW_FINDINGS.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:current_system_review:Plan\01_CURRENT_SYSTEM_REVIEW\MAIN_FLOW_REVIEW_FINDINGS.md#L1-L13
ITEM-W64-004,64,end_to_end_strict_ai_requirement,End-to-end target architecture coverage,Architecture,target_architecture,Architecture,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for target_architecture.",target_architecture,code_config_workflow_manifest_qa_evidence_review_certification,"Architecture includes local, GitHub, S3, EC2, model registry, workflow lanes, QA evidence, release, and done certification boundaries.",architecture_traceability|interface_contracts|runtime_boundary_check|release_gate_mapping,FALSE,not_applicable_architecture_evidence,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,FALSE,FALSE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\02_TARGET_ARCHITECTURE\END_TO_END_ARCHITECTURE.md,C:\Comfy_UI_Main\Plan\02_TARGET_ARCHITECTURE\END_TO_END_ARCHITECTURE.md,End-to-End Target Architecture,1,13,"# End-to-End Target Architecture ## Recommended strategy Build multiple connected workflows/modules, not one giant flow. ```text User / App Mode controls ↓ Scene request schema ↓ AI pass planner ↓",C:\Comfy_UI_Main\Plan,md,1954,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:target_architecture:Plan\02_TARGET_ARCHITECTURE\END_TO_END_ARCHITECTURE.md#L1-L13,Plan\02_TARGET_ARCHITECTURE\END_TO_END_ARCHITECTURE.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:target_architecture:Plan\02_TARGET_ARCHITECTURE\END_TO_END_ARCHITECTURE.md#L1-L13
ITEM-W64-005,64,end_to_end_strict_ai_requirement,Local-first runtime validation strategy,Cost Control,local_first_runtime_strategy,Cost Control,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for local_first_runtime_strategy.",local_first_runtime_strategy,code_config_workflow_manifest_qa_evidence_review_certification,Local validation is used for workflow and prompt iteration; EC2 is reserved for target-runtime facts only.,local_preflight|low_vram_policy|ec2_final_proof_boundary|no_false_equivalence,FALSE,not_applicable_local_preflight,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,FALSE,FALSE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\02_TARGET_ARCHITECTURE\LOCAL_FIRST_RUNTIME_VALIDATION_STRATEGY.md,C:\Comfy_UI_Main\Plan\02_TARGET_ARCHITECTURE\LOCAL_FIRST_RUNTIME_VALIDATION_STRATEGY.md,Local-First Runtime Validation Strategy,1,13,# Local-First Runtime Validation Strategy ## Primary rule Do as much validation locally as possible before EC2 is started. ## Local-only checks The following checks must always run locally first: ```text workflow JSON parse workflow graph link validation,C:\Comfy_UI_Main\Plan,md,2145,P0,HIGH,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:local_first_runtime_strategy:Plan\02_TARGET_ARCHITECTURE\LOCAL_FIRST_RUNTIME_VALIDATION_STRATEGY.md#L1-L13,Plan\02_TARGET_ARCHITECTURE\LOCAL_FIRST_RUNTIME_VALIDATION_STRATEGY.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:local_first_runtime_strategy:Plan\02_TARGET_ARCHITECTURE\LOCAL_FIRST_RUNTIME_VALIDATION_STRATEGY.md#L1-L13
ITEM-W64-006,64,end_to_end_strict_ai_requirement,GitHub local EC2 S3 development strategy,Deploy Architecture,repo_ec2_s3_architecture,Deploy Architecture,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for repo_ec2_s3_architecture.",repo_ec2_s3_architecture,code_config_workflow_manifest_qa_evidence_review_certification,CI packages deploy bundles while EC2 is stopped; EC2 consumes verified S3 artifacts when configured.,ci_preflight|s3_bundle_manifest|sha256_verification|ec2_window_bound,FALSE,not_applicable_deploy_evidence,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,TRUE,TRUE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\02_TARGET_ARCHITECTURE\GITHUB_LOCAL_EC2_S3_DEVELOPMENT_STRATEGY.md,C:\Comfy_UI_Main\Plan\02_TARGET_ARCHITECTURE\GITHUB_LOCAL_EC2_S3_DEVELOPMENT_STRATEGY.md,"GitHub, Local Repo, EC2 Mirror, and S3 Model Strategy",1,13,"# GitHub, Local Repo, EC2 Mirror, and S3 Model Strategy ## Decision Use GitHub and `C:\Comfy_UI_Main` for code, workflow templates, schemas, docs, manifests, scripts, tests, and lightweight config. Do **not** store checkpoint, LoRA, VAE, ControlNet, upscaler, video, or audio model binaries in Git. Canonical repo: ```text https://github.com/KevinSGarrett/Comfy_UI_Main Local path: C:\Comfy_UI_Main ```",C:\Comfy_UI_Main\Plan,md,3090,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:repo_ec2_s3_architecture:Plan\02_TARGET_ARCHITECTURE\GITHUB_LOCAL_EC2_S3_DEVELOPMENT_STRATEGY.md#L1-L13,Plan\02_TARGET_ARCHITECTURE\GITHUB_LOCAL_EC2_S3_DEVELOPMENT_STRATEGY.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:repo_ec2_s3_architecture:Plan\02_TARGET_ARCHITECTURE\GITHUB_LOCAL_EC2_S3_DEVELOPMENT_STRATEGY.md#L1-L13
ITEM-W64-007,64,end_to_end_strict_ai_requirement,Model asset storage and cache governance,Model Governance,model_asset_storage_cache,Model Governance,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for model_asset_storage_cache.",model_asset_storage_cache,code_config_workflow_manifest_qa_evidence_review_certification,"Model binaries are never committed; required models are registered, cached, hash-verified, and provisioned through non-Git paths.",model_registry_required|sha256_required|non_git_model_path|required_model_presence,FALSE,not_applicable_model_hash_evidence,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,TRUE,TRUE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\02_TARGET_ARCHITECTURE\MODEL_ASSET_STORAGE_AND_CACHE_STRATEGY.md,C:\Comfy_UI_Main\Plan\02_TARGET_ARCHITECTURE\MODEL_ASSET_STORAGE_AND_CACHE_STRATEGY.md,"Model Asset Storage, Cache, and Manifest Strategy",1,13,"# Model Asset Storage, Cache, and Manifest Strategy ## Core decision Model binaries are external runtime assets. Git stores references, manifests, hashes, categories, engine compatibility, and hydration instructions only. ## Asset tiers | Tier | Location | Purpose | Git status | |---|---|---|---| | Canonical model store | S3 | Source of truth for large binaries | Not in Git | | EC2 runtime cache | EC2 EBS/NVMe | GPU runtime proof and final rendering | Not in Git | | Local optional cache | local disk | Optional dev previews if available | Not in Git |",C:\Comfy_UI_Main\Plan,md,3081,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:model_asset_storage_cache:Plan\02_TARGET_ARCHITECTURE\MODEL_ASSET_STORAGE_AND_CACHE_STRATEGY.md#L1-L13,Plan\02_TARGET_ARCHITECTURE\MODEL_ASSET_STORAGE_AND_CACHE_STRATEGY.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:model_asset_storage_cache:Plan\02_TARGET_ARCHITECTURE\MODEL_ASSET_STORAGE_AND_CACHE_STRATEGY.md#L1-L13
ITEM-W64-008,64,end_to_end_strict_ai_requirement,Image pipeline blueprint implementation,Image System,image_pipeline_build,Image System,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for image_pipeline_build.",image_pipeline_build,code_config_workflow_manifest_qa_evidence_review_certification,"Image pipeline can generate base outputs, refinement passes, repair passes, and QA promotion evidence for each lane.",workflow_template_valid|prompt_request_valid|image_artifact_manifest|promotion_gate,TRUE,image_output_visual_runtime_ready,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,TRUE,TRUE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\03_IMAGE_SYSTEM\IMAGE_PIPELINE_BLUEPRINT.md,C:\Comfy_UI_Main\Plan\03_IMAGE_SYSTEM\IMAGE_PIPELINE_BLUEPRINT.md,Image Pipeline Blueprint,1,13,# Image Pipeline Blueprint ## Preferred production path ```text Scene request → character bible + references → pose/camera/depth/control maps → base image generation → base QA → full-image realism refine → refine QA → mask factory,C:\Comfy_UI_Main\Plan,md,1241,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:image_pipeline_build:Plan\03_IMAGE_SYSTEM\IMAGE_PIPELINE_BLUEPRINT.md#L1-L13,Plan\03_IMAGE_SYSTEM\IMAGE_PIPELINE_BLUEPRINT.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:image_pipeline_build:Plan\03_IMAGE_SYSTEM\IMAGE_PIPELINE_BLUEPRINT.md#L1-L13
ITEM-W64-009,64,end_to_end_strict_ai_requirement,Image engine router and compatibility proof,Image System,image_engine_router,Image System,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for image_engine_router.",image_engine_router,code_config_workflow_manifest_qa_evidence_review_certification,"Engine router selects compatible checkpoints, LoRAs, VAEs, samplers, schedulers, and node graph variants without silent mismatch.",model_compatibility_matrix|object_info_check|registry_hash_match|router_decision_evidence,FALSE,not_applicable_router_evidence,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,TRUE,TRUE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\03_IMAGE_SYSTEM\ENGINE_ROUTER_SPEC.md,C:\Comfy_UI_Main\Plan\03_IMAGE_SYSTEM\ENGINE_ROUTER_SPEC.md,Engine Router Specification,1,13,"# Engine Router Specification ## Purpose Select the best engine for each pass while avoiding incompatible model/LoRA usage. ## Engine families - Flux: preferred base and high-quality general generation. - SDXL/RealVisXL: refinement, inpaint, detail, realism, face/hands, stable low-denoise support. - Pony: specialty masked pass only unless proven as a base style for the requested scene. - SD1.5: legacy/specialty only. - Z-Image: exploratory/base/smoke path until proven.",C:\Comfy_UI_Main\Plan,md,1345,P0,CRITICAL,Local_Pass_Target_Runtime_Not_Certified,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: status is generated from exact direct evidence when present; skip repeat local/AWS work unless source, evidence, or downstream gate changes.",W64:image_engine_router:Plan\03_IMAGE_SYSTEM\ENGINE_ROUTER_SPEC.md#L1-L13,Plan\03_IMAGE_SYSTEM\ENGINE_ROUTER_SPEC.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:image_engine_router:Plan\03_IMAGE_SYSTEM\ENGINE_ROUTER_SPEC.md#L1-L13
ITEM-W64-010,64,end_to_end_strict_ai_requirement,Character identity and multi-character separation,Image Visual QA,image_identity_multicharacter,Image Visual QA,TRUE,FALSE,FALSE,"Autonomously implement, test, review, evidence, and block-or-advance the strict AI requirement for image_identity_multicharacter.",image_identity_multicharacter,code_config_workflow_manifest_qa_evidence_review_certification,"Generated characters preserve identity, separation, anatomy, scale, and occlusion without merged bodies or identity drift.",identity_reference_check|multi_instance_check|occlusion_depth_check|visual_reject_on_merge,TRUE,side_by_side_reference_and_generated_image_review,TRUE,source_citation|test_log|qa_record|evidence_manifest|blocker_or_pass_decision,TRUE,TRUE,"No human work. If any required source, test, runtime proof, visual review, audio review, or evidence is missing, create a blocker with exact source citation and continue only with safe autonomous work.",C:\Comfy_UI_Main\Plan,Plan\03_IMAGE_SYSTEM\CHARACTER_IDENTITY_AND_MULTICHARACTER_SPEC.md,C:\Comfy_UI_Main\Plan\03_IMAGE_SYSTEM\CHARACTER_IDENTITY_AND_MULTICHARACTER_SPEC.md,Character Identity and Multi-Character Specification,1,13,# Character Identity and Multi-Character Specification ## Single-character identity Use a Character Bible: - character_id - face references - body-shape references - hair references - outfit references - skin detail references - voice profile if audio - locked traits,C:\Comfy_UI_Main\Plan,md,1100,P0,CRITICAL,Required_Tracked_Not_Complete_Until_Evidence_Passes,Wave64 end-to-end strict AI coverage generator,"AI-only operational row. Do not treat prose summary as completion; require structured evidence paths and pass/fail records. | Wave64 reconciliation 2026-07-09: no exact direct row evidence found; do not infer completion from rollups, mentions, Wave65 planned rows, Wave70 supporting evidence, local artifacts, or AWS artifacts without matching item/tracker id.",W64:image_identity_multicharacter:Plan\03_IMAGE_SYSTEM\CHARACTER_IDENTITY_AND_MULTICHARACTER_SPEC.md#L1-L13,Plan\03_IMAGE_SYSTEM\CHARACTER_IDENTITY_AND_MULTICHARACTER_SPEC.md,end_to_end_strict_ai_control,covered_by_wave64_strict_ai_matrix,W64:image_identity_multicharacter:Plan\03_IMAGE_SYSTEM\CHARACTER_IDENTITY_AND_MULTICHARACTER_SPEC.md#L1-L13
